event_id,year,sort_order,date_label,date_precision,coverage_role,coverage_start_year,coverage_end_year,coverage_group_id,item_kind,event_type,title,description,significance,primary_education_stage,education_stage_tags,curriculum_basis,importance_level,display_priority,related_polity_ids,related_people,location_name,longitude,latitude,location_historical_name,location_modern_name,location_modern_admin_id,location_precision,location_confidence_score,location_source_titles,location_source_urls,location_note,source_titles,source_urls,source_type,confidence_score,confidence_note,fact_review_status,review_note
event_eur_0001,-1450,2,公元前1450年,approx,exact_year_event,-1450,-1450,,core_event,political_transition,Destruction of Minoan palaces,米诺斯文明各宫殿在 -1450 前后陆续被毁，迈锡尼希腊接管克里特岛主要据点。,爱琴海主导权由米诺斯文明转向迈锡尼文明。,高中,世界史|欧洲史,world_history_dataset_vEuropean,2,100,polity_eur_0001|polity_eur_0003,Mycenaean rulers,Knossos,25.1631,35.298,Knossos,Knossos,,city,80,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/,Coordinates are city/site approximations for map placement.,Encyclopaedia Britannica: Minoan civilization,https://www.britannica.com/topic/Minoan-civilization,synthesized_secondary,55,,candidate,
event_eur_0002,-1180,3,公元前1180年,approx,exact_year_event,-1180,-1180,,core_event,systemic_collapse,Sea Peoples upheavals (approx),海上民族大规模迁徙冲击东地中海，赫梯帝国崩溃，特洛伊 VIIa 烧毁，迈锡尼宫殿陆续放弃。,青铜时代晚期崩溃，开启希腊黑暗时代。,高中,世界史|欧洲史,world_history_dataset_vEuropean,3,100,polity_eur_0004|polity_eur_0003|polity_eur_0005,,Troy,26.2389,39.9575,Troy,Troy,,city,80,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/,Coordinates are city/site approximations for map placement.,Encyclopaedia Britannica: Greek civilization|Encyclopaedia Britannica: Mycenaean civilization,https://www.britannica.com/topic/ancient-Greek-civilization|https://www.britannica.com/topic/Mycenaean-civilization,synthesized_secondary,60,,candidate,
event_eur_0003,-776,4,公元前776年,year,exact_year_event,-776,-776,,core_event,cultural,First recorded Olympic Games,第一届有文献记载的奥林匹亚祭祀竞技在伯罗奔尼撒奥林匹亚举行。,希腊编年史与文学传统的标志性起点。,高中,世界史|欧洲史,world_history_dataset_vEuropean,2,100,polity_eur_0014|polity_eur_0015,,Olympia,21.63,37.6383,Olympia,Olympia,,city,80,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/,Coordinates are city/site approximations for map placement.,Encyclopaedia Britannica: Greek civilization,https://www.britannica.com/topic/ancient-Greek-civilization,synthesized_secondary,75,,verified,
event_eur_0004,-753,5,公元前753年,approx,exact_year_event,-753,-753,,core_event,political_origin,Legendary founding of Rome,瓦罗编年法定罗慕路斯于公元前 753 年建立罗马城。,罗马城建国传说，后续罗马年代记的起点。,高中,世界史|欧洲史,world_history_dataset_vEuropean,3,100,polity_eur_0019,Romulus,Rome,12.4964,41.9028,Rome,Rome,,city,80,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/,Coordinates are city/site approximations for map placement.,Encyclopaedia Britannica: Ancient Rome,https://www.britannica.com/place/ancient-Rome,synthesized_secondary,45,Legendary chronology; archaeology of early Rome is older but no central polity attested.,candidate,
event_eur_0005,-509,6,公元前509年,approx,exact_year_event,-509,-509,,core_event,constitutional_transition,Founding of the Roman Republic,塔克文王朝末王 Tarquinius Superbus 被驱逐，罗马进入共和制。,罗马共和的开端。,高中,世界史|欧洲史,world_history_dataset_vEuropean,3,100,polity_eur_0019,Lucius Junius Brutus,Rome,12.4964,41.9028,Rome,Rome,,city,80,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/,Coordinates are city/site approximations for map placement.,Encyclopaedia Britannica: Ancient Rome,https://www.britannica.com/place/ancient-Rome,synthesized_secondary,65,,candidate,
event_eur_0006,-490,7,公元前490年,year,exact_year_event,-490,-490,,core_event,battle,Battle of Marathon,雅典与普拉提亚联军在马拉松击败波斯入侵军。,希波战争第一次重大胜利。,高中,世界史|欧洲史,world_history_dataset_vEuropean,3,100,polity_eur_0026|polity_eur_0042,Miltiades,Athens,23.7275,37.9838,Athens,Athens,,city,80,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/,Coordinates are city/site approximations for map placement.,Encyclopaedia Britannica: Greek civilization,https://www.britannica.com/topic/ancient-Greek-civilization,synthesized_secondary,90,,verified,
event_eur_0007,-480,8,公元前480年,year,exact_year_event,-480,-480,,core_event,battle,Battle of Thermopylae,斯巴达国王列奥尼达率三百精锐与希腊联军在温泉关阻击波斯王薛西斯。,希波战争经典战役，希腊联军象征性抵抗。,高中,世界史|欧洲史,world_history_dataset_vEuropean,3,100,polity_eur_0015|polity_eur_0042,Leonidas I; Xerxes I,Athens,23.7275,37.9838,Athens,Athens,,city,80,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/,Coordinates are city/site approximations for map placement.,Encyclopaedia Britannica: Greek civilization,https://www.britannica.com/topic/ancient-Greek-civilization,synthesized_secondary,92,,verified,
event_eur_0008,-480,9,公元前480年,year,exact_year_event,-480,-480,,core_event,naval_battle,Battle of Salamis,希腊联合舰队在萨拉米斯海峡击败波斯舰队。,扭转希波战争局势。,高中,世界史|欧洲史,world_history_dataset_vEuropean,3,100,polity_eur_0026|polity_eur_0042,Themistocles,Athens,23.7275,37.9838,Athens,Athens,,city,80,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/,Coordinates are city/site approximations for map placement.,Encyclopaedia Britannica: Greek civilization,https://www.britannica.com/topic/ancient-Greek-civilization,synthesized_secondary,92,,verified,
event_eur_0009,-431,10,公元前431年,year,exact_year_event,-431,-431,,core_event,war_outbreak,Outbreak of Peloponnesian War,雅典提洛同盟与斯巴达伯罗奔尼撒同盟开战。,希腊城邦体系内战。,高中,世界史|欧洲史,world_history_dataset_vEuropean,3,100,polity_eur_0026|polity_eur_0015,,Athens,23.7275,37.9838,Athens,Athens,,city,80,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/,Coordinates are city/site approximations for map placement.,Encyclopaedia Britannica: Greek civilization,https://www.britannica.com/topic/ancient-Greek-civilization,synthesized_secondary,90,,verified,
event_eur_0010,-336,11,公元前336年,year,exact_year_event,-336,-336,,core_event,succession,Alexander the Great accedes,腓力二世遇刺，亚历山大继位马其顿王。,希腊化时代序幕。,高中,世界史|欧洲史,world_history_dataset_vEuropean,3,100,polity_eur_0027,Alexander III the Great,Pella,22.5266,40.7572,Pella,Pella,,city,80,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/,Coordinates are city/site approximations for map placement.,Encyclopaedia Britannica: Greek civilization,https://www.britannica.com/topic/ancient-Greek-civilization,synthesized_secondary,92,,verified,
