location_id,name,aliases,category,icon_key,importance_level,display_priority,start_year,end_year,active_years_raw,related_event_ids,related_anecdote_ids,related_polity_ids,related_people,historical_name,modern_name,modern_admin_units_raw,longitude,latitude,location_precision,location_confidence_score,strategic_summary,historical_significance,source_titles,source_urls,source_type,confidence_note,review_status,review_note
strategic_ind_0001,Mehrgarh,,cultural_allusion,early_agriculture,2,101,-7000,-2600,公元前7000年-公元前2600年,,,,,Mehrgarh,Mehrgarh,South Asia modern location; see source and coordinate note.,67.6167,29.3833,city,85,南亚早期农业和定居社会的重要遗址。,南亚早期农业和定居社会的重要遗址。,Digital South Asia Library: A Historical Atlas of South Asia|Archaeological Survey of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://asi.nic.in/,historical_atlas|official_archaeology_or_heritage,Coordinate is for map placement; site-level precision varies by location.,verified,
strategic_ind_0002,Harappa,,cultural_allusion,urban_site,2,102,-3300,-1300,公元前3300年-公元前1300年,,,,,Harappa,Harappa,South Asia modern location; see source and coordinate note.,72.8667,30.6333,city,85,印度河文明核心城市遗址之一。,印度河文明核心城市遗址之一。,Digital South Asia Library: A Historical Atlas of South Asia|Archaeological Survey of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://asi.nic.in/,historical_atlas|official_archaeology_or_heritage,Coordinate is for map placement; site-level precision varies by location.,verified,
strategic_ind_0003,Mohenjo-daro,,cultural_allusion,urban_site,2,103,-2600,-1900,公元前2600年-公元前1900年,,,,,Mohenjo-daro,Mohenjo-daro,South Asia modern location; see source and coordinate note.,68.1389,27.3294,city,85,成熟哈拉帕城市遗址，常用于展示印度河城市化。,成熟哈拉帕城市遗址，常用于展示印度河城市化。,Digital South Asia Library: A Historical Atlas of South Asia|Archaeological Survey of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://asi.nic.in/,historical_atlas|official_archaeology_or_heritage,Coordinate is for map placement; site-level precision varies by location.,verified,
strategic_ind_0004,Dholavira,,cultural_allusion,urban_site,2,104,-3000,-1500,公元前3000年-公元前1500年,,,,,Dholavira,Dholavira,South Asia modern location; see source and coordinate note.,70.2142,23.8876,city,85,古吉拉特哈拉帕城市遗址，UNESCO世界遗产。,古吉拉特哈拉帕城市遗址，UNESCO世界遗产。,Digital South Asia Library: A Historical Atlas of South Asia|Archaeological Survey of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://asi.nic.in/,historical_atlas|official_archaeology_or_heritage,Coordinate is for map placement; site-level precision varies by location.,verified,
strategic_ind_0005,Taxila,,transport_hub,city,2,105,-600,500,公元前600年-500年,,,,,Taxila,Taxila,South Asia modern location; see source and coordinate note.,72.8397,33.7463,city,85,西北通道、犍陀罗和跨区域交流要地。,西北通道、犍陀罗和跨区域交流要地。,Digital South Asia Library: A Historical Atlas of South Asia|Archaeological Survey of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://asi.nic.in/,historical_atlas|official_archaeology_or_heritage,Coordinate is for map placement; site-level precision varies by location.,verified,
strategic_ind_0006,Rajgir,,fortress_city,city,2,106,-600,-400,公元前600年-公元前400年,,,,,Rajgir,Rajgir,South Asia modern location; see source and coordinate note.,85.421,25.0277,city,85,早期摩揭陀政治中心。,早期摩揭陀政治中心。,Digital South Asia Library: A Historical Atlas of South Asia|Archaeological Survey of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://asi.nic.in/,historical_atlas|official_archaeology_or_heritage,Coordinate is for map placement; site-level precision varies by location.,verified,
strategic_ind_0007,Pataliputra,,fortress_city,capital,2,107,-400,600,公元前400年-600年,,,,,Pataliputra,Pataliputra,South Asia modern location; see source and coordinate note.,85.1376,25.5941,city,85,摩揭陀、孔雀和笈多政治核心城市。,摩揭陀、孔雀和笈多政治核心城市。,Digital South Asia Library: A Historical Atlas of South Asia|Archaeological Survey of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://asi.nic.in/,historical_atlas|official_archaeology_or_heritage,Coordinate is for map placement; site-level precision varies by location.,verified,
strategic_ind_0008,Vaishali,,fortress_city,republic,2,108,-600,-300,公元前600年-公元前300年,,,,,Vaishali,Vaishali,South Asia modern location; see source and coordinate note.,85.13,25.98,city,85,跋耆/离车联盟重要中心。,跋耆/离车联盟重要中心。,Digital South Asia Library: A Historical Atlas of South Asia|Archaeological Survey of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://asi.nic.in/,historical_atlas|official_archaeology_or_heritage,Coordinate is for map placement; site-level precision varies by location.,verified,
strategic_ind_0009,Bodh Gaya,,cultural_allusion,religious_site,2,109,-528,1990,公元前528年-1990年,,,,,Bodh Gaya,Bodh Gaya,South Asia modern location; see source and coordinate note.,84.9913,24.6951,city,85,佛教圣地和历史记忆核心地点。,佛教圣地和历史记忆核心地点。,Digital South Asia Library: A Historical Atlas of South Asia|Archaeological Survey of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://asi.nic.in/,historical_atlas|official_archaeology_or_heritage,Coordinate is for map placement; site-level precision varies by location.,verified,
strategic_ind_0010,Sarnath,,cultural_allusion,religious_site,2,110,-528,1990,公元前528年-1990年,,,,,Sarnath,Sarnath,South Asia modern location; see source and coordinate note.,83.022,25.3811,city,85,初转法轮传统相关地点。,初转法轮传统相关地点。,Digital South Asia Library: A Historical Atlas of South Asia|Archaeological Survey of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://asi.nic.in/,historical_atlas|official_archaeology_or_heritage,Coordinate is for map placement; site-level precision varies by location.,verified,
