ruler_id,polity_id,polity_name,ruler_name,ruler_title,ruler_temple_name,ruler_posthumous_name,ruler_personal_name,ruler_reign_start_year,ruler_reign_start_label,ruler_reign_end_year,ruler_reign_end_label,ruler_reign_raw,ruler_reign_precision,era_names,ruler_source_title,ruler_source_url,ruler_source_section,ruler_confidence_score,ruler_confidence_note,merged_from_v02_rows
ruler_ind_00001,polity_ind_0021,诃黎王朝/哈里扬卡,Bimbisara,King,,,,-544,公元前544年,-492,公元前492年,公元前544年-公元前492年,year,,"NCERT Themes in Indian History, Part I|Encyclopaedia Britannica: Magadha",https://ncert.nic.in/textbook/pdf/lehs101.pdf|https://www.britannica.com/place/Magadha,,75,,
ruler_ind_00002,polity_ind_0021,诃黎王朝/哈里扬卡,Ajatashatru,King,,,,-492,公元前492年,-460,公元前460年,公元前492年-公元前460年,year,,"NCERT Themes in Indian History, Part I|Encyclopaedia Britannica: Magadha",https://ncert.nic.in/textbook/pdf/lehs101.pdf|https://www.britannica.com/place/Magadha,,75,,
ruler_ind_00003,polity_ind_0023,难陀王朝,Mahapadma Nanda,King,,,,-345,公元前345年,-329,公元前329年,公元前345年-公元前329年,year,,"NCERT Themes in Indian History, Part I|Encyclopaedia Britannica: Magadha",https://ncert.nic.in/textbook/pdf/lehs101.pdf|https://www.britannica.com/place/Magadha,,68,,
ruler_ind_00004,polity_ind_0023,难陀王朝,Dhana Nanda,King,,,,-329,公元前329年,-321,公元前321年,公元前329年-公元前321年,year,,"NCERT Themes in Indian History, Part I|Encyclopaedia Britannica: Magadha",https://ncert.nic.in/textbook/pdf/lehs101.pdf|https://www.britannica.com/place/Magadha,,68,,
ruler_ind_00005,polity_ind_0024,孔雀帝国,Chandragupta Maurya,Emperor,,,,-321,公元前321年,-297,公元前297年,公元前321年-公元前297年,year,,Encyclopaedia Britannica: Mauryan Empire|Encyclopaedia Britannica: Ashoka,https://www.britannica.com/place/Mauryan-Empire|https://www.britannica.com/biography/Ashoka,,78,,
ruler_ind_00006,polity_ind_0024,孔雀帝国,Bindusara,Emperor,,,,-297,公元前297年,-273,公元前273年,公元前297年-公元前273年,year,,Encyclopaedia Britannica: Mauryan Empire|Encyclopaedia Britannica: Ashoka,https://www.britannica.com/place/Mauryan-Empire|https://www.britannica.com/biography/Ashoka,,78,,
ruler_ind_00007,polity_ind_0024,孔雀帝国,Ashoka,Emperor,,,,-268,公元前268年,-232,公元前232年,公元前268年-公元前232年,year,,Encyclopaedia Britannica: Mauryan Empire|Encyclopaedia Britannica: Ashoka,https://www.britannica.com/place/Mauryan-Empire|https://www.britannica.com/biography/Ashoka,,78,,
ruler_ind_00008,polity_ind_0024,孔雀帝国,Dasharatha Maurya,Emperor,,,,-232,公元前232年,-224,公元前224年,公元前232年-公元前224年,year,,Encyclopaedia Britannica: Mauryan Empire|Encyclopaedia Britannica: Ashoka,https://www.britannica.com/place/Mauryan-Empire|https://www.britannica.com/biography/Ashoka,,78,,
ruler_ind_00009,polity_ind_0024,孔雀帝国,Samprati,Emperor,,,,-224,公元前224年,-215,公元前215年,公元前224年-公元前215年,year,,Encyclopaedia Britannica: Mauryan Empire|Encyclopaedia Britannica: Ashoka,https://www.britannica.com/place/Mauryan-Empire|https://www.britannica.com/biography/Ashoka,,78,,
ruler_ind_00010,polity_ind_0024,孔雀帝国,Shalishuka,Emperor,,,,-215,公元前215年,-202,公元前202年,公元前215年-公元前202年,year,,Encyclopaedia Britannica: Mauryan Empire|Encyclopaedia Britannica: Ashoka,https://www.britannica.com/place/Mauryan-Empire|https://www.britannica.com/biography/Ashoka,,78,,
