event_id,year,sort_order,date_label,date_precision,coverage_role,coverage_start_year,coverage_end_year,coverage_group_id,item_kind,event_type,title,description,significance,primary_education_stage,education_stage_tags,curriculum_basis,importance_level,display_priority,related_polity_ids,related_people,location_name,longitude,latitude,location_historical_name,location_modern_name,location_modern_admin_id,location_precision,location_confidence_score,location_source_titles,location_source_urls,location_note,source_titles,source_urls,source_type,confidence_score,confidence_note,fact_review_status,review_note
event_ind_0001,-7000,2,公元前7000年,approx,exact_year_event,-7000,-7000,,core_event,archaeological_context,梅赫尔格尔早期农业遗址进入南亚史背景,俾路支地区的梅赫尔格尔常被用作南亚新石器和早期农业社会的重要背景点。,为印度河文明之前的长期社会复杂化提供背景。,高中,世界史|南亚史,world_history_dataset_vIndian,3,100,,,Mehrgarh,67.6167,29.3833,Mehrgarh,Mehrgarh,,city,80,Digital South Asia Library: A Historical Atlas of South Asia|Archaeological Survey of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://asi.nic.in/,Coordinates are city/site approximations for map placement.,Digital South Asia Library: A Historical Atlas of South Asia|Archaeological Survey of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://asi.nic.in/,synthesized_secondary,70,,candidate,
event_ind_0052,-3300,53,公元前3300年,approx,exact_year_event,-3300,-3300,,representative_event,polity_start,早期哈拉帕文化形成或建立,早期哈拉帕文化在vIndian政权表中的起始年为公元前3300年。,由政权标准表自动派生的建立/形成事件，用于年度浏览与检索。,高中,世界史|南亚史,world_history_dataset_vIndian,3,500,polity_ind_0001,,,,,,,,,,,,,Digital South Asia Library: A Historical Atlas of South Asia|Encyclopaedia Britannica: India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://www.britannica.com/place/India,synthesized_secondary,70,"Archaeological culture layer, not a centralized polity.",candidate,
event_ind_0002,-2600,3,公元前2600年,approx,exact_year_event,-2600,-2600,,core_event,urbanization,成熟哈拉帕城市化阶段形成,印度河文明进入成熟城市化阶段，哈拉帕、摩亨佐-达罗、朵拉维拉等城市网络扩展。,这是南亚最早的大规模城市文明层。,高中,世界史|南亚史,world_history_dataset_vIndian,1,100,polity_ind_0002,,Harappa,72.8667,30.6333,Harappa,Harappa,,city,80,Digital South Asia Library: A Historical Atlas of South Asia|Archaeological Survey of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://asi.nic.in/,Coordinates are city/site approximations for map placement.,"NCERT Themes in Indian History, Part I|Encyclopaedia Britannica: Indus civilization",https://ncert.nic.in/textbook/pdf/lehs101.pdf|https://www.britannica.com/topic/Indus-civilization,synthesized_secondary,78,,verified,
event_ind_0053,-2600,54,公元前2600年,approx,exact_year_event,-2600,-2600,,representative_event,polity_end,早期哈拉帕文化结束或转型,早期哈拉帕文化在vIndian政权表中的结束年为公元前2600年；后继/结局：。,由政权标准表自动派生的结束/转型事件，用于年度浏览与检索。,高中,世界史|南亚史,world_history_dataset_vIndian,3,501,polity_ind_0001,,,,,,,,,,,,,Digital South Asia Library: A Historical Atlas of South Asia|Encyclopaedia Britannica: India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://www.britannica.com/place/India,synthesized_secondary,70,"Archaeological culture layer, not a centralized polity.",candidate,
event_ind_0054,-2600,55,公元前2600年,approx,exact_year_event,-2600,-2600,,representative_event,polity_start,成熟哈拉帕/印度河文明形成或建立,成熟哈拉帕/印度河文明在vIndian政权表中的起始年为公元前2600年。,由政权标准表自动派生的建立/形成事件，用于年度浏览与检索。,高中,世界史|南亚史,world_history_dataset_vIndian,3,500,polity_ind_0002,,,,,,,,,,,,,Digital South Asia Library: A Historical Atlas of South Asia|Encyclopaedia Britannica: India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://www.britannica.com/place/India,synthesized_secondary,78,Urban civilization complex; political unity is not assumed.,verified,
event_ind_0003,-1900,4,公元前1900年,approx,exact_year_event,-1900,-1900,,core_event,civilization_transition,印度河城市体系衰退与区域化,成熟哈拉帕城市网络逐步衰退，晚期哈拉帕区域文化延续。,该转型影响了随后西北和北印度历史文化格局。,高中,世界史|南亚史,world_history_dataset_vIndian,1,100,polity_ind_0003,,Mohenjo-daro,68.1389,27.3294,Mohenjo-daro,Mohenjo-daro,,city,80,Digital South Asia Library: A Historical Atlas of South Asia|Archaeological Survey of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://asi.nic.in/,Coordinates are city/site approximations for map placement.,"NCERT Themes in Indian History, Part I|Encyclopaedia Britannica: Indus civilization",https://ncert.nic.in/textbook/pdf/lehs101.pdf|https://www.britannica.com/topic/Indus-civilization,synthesized_secondary,74,,candidate,
event_ind_0055,-1900,56,公元前1900年,approx,exact_year_event,-1900,-1900,,representative_event,polity_end,成熟哈拉帕/印度河文明结束或转型,成熟哈拉帕/印度河文明在vIndian政权表中的结束年为公元前1900年；后继/结局：。,由政权标准表自动派生的结束/转型事件，用于年度浏览与检索。,高中,世界史|南亚史,world_history_dataset_vIndian,3,501,polity_ind_0002,,,,,,,,,,,,,Digital South Asia Library: A Historical Atlas of South Asia|Encyclopaedia Britannica: India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://www.britannica.com/place/India,synthesized_secondary,78,Urban civilization complex; political unity is not assumed.,verified,
event_ind_0056,-1900,57,公元前1900年,approx,exact_year_event,-1900,-1900,,representative_event,polity_start,晚期哈拉帕文化形成或建立,晚期哈拉帕文化在vIndian政权表中的起始年为公元前1900年。,由政权标准表自动派生的建立/形成事件，用于年度浏览与检索。,高中,世界史|南亚史,world_history_dataset_vIndian,3,500,polity_ind_0003,,,,,,,,,,,,,Digital South Asia Library: A Historical Atlas of South Asia|Encyclopaedia Britannica: India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://www.britannica.com/place/India,synthesized_secondary,68,Represents cultural transition after mature urban phase.,candidate,
event_ind_0058,-1500,59,公元前1500年,approx,exact_year_event,-1500,-1500,,representative_event,polity_start,吠陀文化圈形成或建立,吠陀文化圈在vIndian政权表中的起始年为公元前1500年。,由政权标准表自动派生的建立/形成事件，用于年度浏览与检索。,高中,世界史|南亚史,world_history_dataset_vIndian,3,500,polity_ind_0004,,,,,,,,,,,,,Digital South Asia Library: A Historical Atlas of South Asia|Encyclopaedia Britannica: India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://www.britannica.com/place/India,synthesized_secondary,62,Cultural horizon; not represented as a single state.,candidate,
event_ind_0057,-1300,58,公元前1300年,approx,exact_year_event,-1300,-1300,,representative_event,polity_end,晚期哈拉帕文化结束或转型,晚期哈拉帕文化在vIndian政权表中的结束年为公元前1300年；后继/结局：。,由政权标准表自动派生的结束/转型事件，用于年度浏览与检索。,高中,世界史|南亚史,world_history_dataset_vIndian,3,501,polity_ind_0003,,,,,,,,,,,,,Digital South Asia Library: A Historical Atlas of South Asia|Encyclopaedia Britannica: India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://www.britannica.com/place/India,synthesized_secondary,68,Represents cultural transition after mature urban phase.,candidate,
event_ind_0004,-600,5,公元前600年,approx,exact_year_event,-600,-600,,core_event,period_context,十六大国时代,恒河流域和北印度进入列国竞争、城市化和新宗教运动活跃的时代。,为佛教、耆那教、摩揭陀崛起和后来的帝国政治奠定背景。,高中,世界史|南亚史,world_history_dataset_vIndian,1,100,polity_ind_0014|polity_ind_0019|polity_ind_0012|polity_ind_0007,,Rajgir,85.421,25.0277,Rajgir,Rajgir,,city,80,Digital South Asia Library: A Historical Atlas of South Asia|Archaeological Survey of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://asi.nic.in/,Coordinates are city/site approximations for map placement.,"NCERT Themes in Indian History, Part I",https://ncert.nic.in/textbook/pdf/lehs101.pdf,synthesized_secondary,72,,candidate,
event_ind_0059,-600,60,公元前600年,approx,exact_year_event,-600,-600,,representative_event,polity_end,吠陀文化圈结束或转型,吠陀文化圈在vIndian政权表中的结束年为公元前600年；后继/结局：。,由政权标准表自动派生的结束/转型事件，用于年度浏览与检索。,高中,世界史|南亚史,world_history_dataset_vIndian,3,501,polity_ind_0004,,,,,,,,,,,,,Digital South Asia Library: A Historical Atlas of South Asia|Encyclopaedia Britannica: India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://www.britannica.com/place/India,synthesized_secondary,62,Cultural horizon; not represented as a single state.,candidate,
event_ind_0060,-600,61,公元前600年,approx,exact_year_event,-600,-600,,representative_event,polity_start,鸯伽形成或建立,鸯伽在vIndian政权表中的起始年为公元前600年。,由政权标准表自动派生的建立/形成事件，用于年度浏览与检索。,高中,世界史|南亚史,world_history_dataset_vIndian,3,500,polity_ind_0005,,,,,,,,,,,,,Digital South Asia Library: A Historical Atlas of South Asia|Encyclopaedia Britannica: India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://www.britannica.com/place/India,synthesized_secondary,66,Mahajanapada dates are conventional approximations.,candidate,
event_ind_0062,-600,63,公元前600年,approx,exact_year_event,-600,-600,,representative_event,polity_start,阿湿波/阿萨卡形成或建立,阿湿波/阿萨卡在vIndian政权表中的起始年为公元前600年。,由政权标准表自动派生的建立/形成事件，用于年度浏览与检索。,高中,世界史|南亚史,world_history_dataset_vIndian,3,500,polity_ind_0006,,,,,,,,,,,,,Digital South Asia Library: A Historical Atlas of South Asia|Encyclopaedia Britannica: India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://www.britannica.com/place/India,synthesized_secondary,66,Mahajanapada dates are conventional approximations.,candidate,
event_ind_0064,-600,65,公元前600年,approx,exact_year_event,-600,-600,,representative_event,polity_start,阿槃提形成或建立,阿槃提在vIndian政权表中的起始年为公元前600年。,由政权标准表自动派生的建立/形成事件，用于年度浏览与检索。,高中,世界史|南亚史,world_history_dataset_vIndian,3,500,polity_ind_0007,,,,,,,,,,,,,Digital South Asia Library: A Historical Atlas of South Asia|Encyclopaedia Britannica: India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://www.britannica.com/place/India,synthesized_secondary,66,Mahajanapada dates are conventional approximations.,candidate,
event_ind_0066,-600,67,公元前600年,approx,exact_year_event,-600,-600,,representative_event,polity_start,支提形成或建立,支提在vIndian政权表中的起始年为公元前600年。,由政权标准表自动派生的建立/形成事件，用于年度浏览与检索。,高中,世界史|南亚史,world_history_dataset_vIndian,3,500,polity_ind_0008,,,,,,,,,,,,,Digital South Asia Library: A Historical Atlas of South Asia|Encyclopaedia Britannica: India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://www.britannica.com/place/India,synthesized_secondary,66,Mahajanapada dates are conventional approximations.,candidate,
event_ind_0068,-600,69,公元前600年,approx,exact_year_event,-600,-600,,representative_event,polity_start,犍陀罗形成或建立,犍陀罗在vIndian政权表中的起始年为公元前600年。,由政权标准表自动派生的建立/形成事件，用于年度浏览与检索。,高中,世界史|南亚史,world_history_dataset_vIndian,3,500,polity_ind_0009,,,,,,,,,,,,,Digital South Asia Library: A Historical Atlas of South Asia|Encyclopaedia Britannica: India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://www.britannica.com/place/India,synthesized_secondary,66,Mahajanapada dates are conventional approximations.,candidate,
event_ind_0070,-600,71,公元前600年,approx,exact_year_event,-600,-600,,representative_event,polity_start,剑浮沙形成或建立,剑浮沙在vIndian政权表中的起始年为公元前600年。,由政权标准表自动派生的建立/形成事件，用于年度浏览与检索。,高中,世界史|南亚史,world_history_dataset_vIndian,3,500,polity_ind_0010,,,,,,,,,,,,,Digital South Asia Library: A Historical Atlas of South Asia|Encyclopaedia Britannica: India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://www.britannica.com/place/India,synthesized_secondary,66,Mahajanapada dates are conventional approximations.,candidate,
event_ind_0072,-600,73,公元前600年,approx,exact_year_event,-600,-600,,representative_event,polity_start,迦尸形成或建立,迦尸在vIndian政权表中的起始年为公元前600年。,由政权标准表自动派生的建立/形成事件，用于年度浏览与检索。,高中,世界史|南亚史,world_history_dataset_vIndian,3,500,polity_ind_0011,,,,,,,,,,,,,Digital South Asia Library: A Historical Atlas of South Asia|Encyclopaedia Britannica: India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://www.britannica.com/place/India,synthesized_secondary,66,Mahajanapada dates are conventional approximations.,candidate,
event_ind_0074,-600,75,公元前600年,approx,exact_year_event,-600,-600,,representative_event,polity_start,拘萨罗形成或建立,拘萨罗在vIndian政权表中的起始年为公元前600年。,由政权标准表自动派生的建立/形成事件，用于年度浏览与检索。,高中,世界史|南亚史,world_history_dataset_vIndian,3,500,polity_ind_0012,,,,,,,,,,,,,Digital South Asia Library: A Historical Atlas of South Asia|Encyclopaedia Britannica: India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://www.britannica.com/place/India,synthesized_secondary,66,Mahajanapada dates are conventional approximations.,candidate,
event_ind_0076,-600,77,公元前600年,approx,exact_year_event,-600,-600,,representative_event,polity_start,俱卢形成或建立,俱卢在vIndian政权表中的起始年为公元前600年。,由政权标准表自动派生的建立/形成事件，用于年度浏览与检索。,高中,世界史|南亚史,world_history_dataset_vIndian,3,500,polity_ind_0013,,,,,,,,,,,,,Digital South Asia Library: A Historical Atlas of South Asia|Encyclopaedia Britannica: India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://www.britannica.com/place/India,synthesized_secondary,66,Mahajanapada dates are conventional approximations.,candidate,
event_ind_0078,-600,79,公元前600年,approx,exact_year_event,-600,-600,,representative_event,polity_start,摩揭陀列国形成或建立,摩揭陀列国在vIndian政权表中的起始年为公元前600年。,由政权标准表自动派生的建立/形成事件，用于年度浏览与检索。,高中,世界史|南亚史,world_history_dataset_vIndian,3,500,polity_ind_0014,,,,,,,,,,,,,Digital South Asia Library: A Historical Atlas of South Asia|Encyclopaedia Britannica: India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://www.britannica.com/place/India,synthesized_secondary,66,Mahajanapada dates are conventional approximations.,candidate,
event_ind_0080,-600,81,公元前600年,approx,exact_year_event,-600,-600,,representative_event,polity_start,末罗形成或建立,末罗在vIndian政权表中的起始年为公元前600年。,由政权标准表自动派生的建立/形成事件，用于年度浏览与检索。,高中,世界史|南亚史,world_history_dataset_vIndian,3,500,polity_ind_0015,,,,,,,,,,,,,Digital South Asia Library: A Historical Atlas of South Asia|Encyclopaedia Britannica: India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://www.britannica.com/place/India,synthesized_secondary,66,Mahajanapada dates are conventional approximations.,candidate,
event_ind_0082,-600,83,公元前600年,approx,exact_year_event,-600,-600,,representative_event,polity_start,摩蹉形成或建立,摩蹉在vIndian政权表中的起始年为公元前600年。,由政权标准表自动派生的建立/形成事件，用于年度浏览与检索。,高中,世界史|南亚史,world_history_dataset_vIndian,3,500,polity_ind_0016,,,,,,,,,,,,,Digital South Asia Library: A Historical Atlas of South Asia|Encyclopaedia Britannica: India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://www.britannica.com/place/India,synthesized_secondary,66,Mahajanapada dates are conventional approximations.,candidate,
event_ind_0084,-600,85,公元前600年,approx,exact_year_event,-600,-600,,representative_event,polity_start,般阇罗形成或建立,般阇罗在vIndian政权表中的起始年为公元前600年。,由政权标准表自动派生的建立/形成事件，用于年度浏览与检索。,高中,世界史|南亚史,world_history_dataset_vIndian,3,500,polity_ind_0017,,,,,,,,,,,,,Digital South Asia Library: A Historical Atlas of South Asia|Encyclopaedia Britannica: India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://www.britannica.com/place/India,synthesized_secondary,66,Mahajanapada dates are conventional approximations.,candidate,
event_ind_0086,-600,87,公元前600年,approx,exact_year_event,-600,-600,,representative_event,polity_start,苏罗娑那形成或建立,苏罗娑那在vIndian政权表中的起始年为公元前600年。,由政权标准表自动派生的建立/形成事件，用于年度浏览与检索。,高中,世界史|南亚史,world_history_dataset_vIndian,3,500,polity_ind_0018,,,,,,,,,,,,,Digital South Asia Library: A Historical Atlas of South Asia|Encyclopaedia Britannica: India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://www.britannica.com/place/India,synthesized_secondary,66,Mahajanapada dates are conventional approximations.,candidate,
event_ind_0088,-600,89,公元前600年,approx,exact_year_event,-600,-600,,representative_event,polity_start,跋耆联盟形成或建立,跋耆联盟在vIndian政权表中的起始年为公元前600年。,由政权标准表自动派生的建立/形成事件，用于年度浏览与检索。,高中,世界史|南亚史,world_history_dataset_vIndian,3,500,polity_ind_0019,,,,,,,,,,,,,Digital South Asia Library: A Historical Atlas of South Asia|Encyclopaedia Britannica: India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://www.britannica.com/place/India,synthesized_secondary,66,Mahajanapada dates are conventional approximations.,candidate,
event_ind_0090,-600,91,公元前600年,approx,exact_year_event,-600,-600,,representative_event,polity_start,婆蹉形成或建立,婆蹉在vIndian政权表中的起始年为公元前600年。,由政权标准表自动派生的建立/形成事件，用于年度浏览与检索。,高中,世界史|南亚史,world_history_dataset_vIndian,3,500,polity_ind_0020,,,,,,,,,,,,,Digital South Asia Library: A Historical Atlas of South Asia|Encyclopaedia Britannica: India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://www.britannica.com/place/India,synthesized_secondary,66,Mahajanapada dates are conventional approximations.,candidate,
