polity_id,macro_period,dynasty_name,polity_name,polity_aliases,polity_display_name,polity_name_disambiguation,polity_name_review_status,polity_name_risk_flags,polity_type,polity_start_year,polity_start_label,polity_end_year,polity_end_label,polity_date_raw,polity_date_precision,historical_geography_raw,modern_admin_units_raw,capital_historical,capital_modern,ruling_family_or_clan,ethnicity_or_group,founder,last_ruler,destroyed_by_or_successor,polity_source_titles,polity_source_urls,polity_source_raw,confidence_score,confidence_note,calendar_system_note,v02_row_count,v02_actual_min_year,v02_actual_max_year,v02_actual_years,merged_from_v02_contexts
polity_eur_0001,青铜时代,Minoan,Minoan Civilization (Palatial Period),Minoans|Cretans,米诺斯文明（宫殿期）,,verified,,civilization,-1900,公元前1900年,-1450,公元前1450年,公元前1900年-公元前1450年,year,克里特岛与爱琴海岛屿，以克诺索斯、斐斯托斯、马利亚为宫殿中心。,GRC,Knossos,Knossos,Minoan elites (no recorded dynastic names),Aegean Bronze Age,(legendary Minos),,Mycenaean Greeks,Encyclopaedia Britannica: Minoan civilization,https://www.britannica.com/topic/Minoan-civilization,,60,Minoan palatial period dates from Aegean archaeology; specific rulers not historically attested.,BCE years are negative; no year 0. Pre-Christian-era dates often approximate.,,,,,
polity_eur_0002,青铜时代,Minoan,Minoan Neopalatial Period,Neopalatial Crete,米诺斯新宫殿期,,verified,,civilization,-1700,公元前1700年,-1450,公元前1450年,公元前1700年-公元前1450年,year,克里特岛重建的克诺索斯宫殿建筑群盛期。,GRC,Knossos,Knossos,,Aegean Bronze Age,,,Mycenaean Crete,Encyclopaedia Britannica: Minoan civilization,https://www.britannica.com/topic/Minoan-civilization,,58,Subperiod within Minoan palatial era; overlaps with main Minoan polity.,BCE years are negative; no year 0. Pre-Christian-era dates often approximate.,,,,,
polity_eur_0003,青铜时代,Mycenaean,Mycenaean Greece,Achaeans|Mycenaeans,迈锡尼文明,,verified,,civilization,-1600,公元前1600年,-1100,公元前1100年,公元前1600年-公元前1100年,year,希腊大陆与爱琴海，以迈锡尼、皮洛斯、底比斯、提林斯等堡垒为中心。,GRC,Mycenae,Mycenae,,Aegean Bronze Age,(legendary Perseus),,Dark Age Greek tribes,Encyclopaedia Britannica: Mycenaean civilization,https://www.britannica.com/topic/Mycenaean-civilization,,65,Mycenaean civilization periodized from Linear B tablets and archaeological strata.,BCE years are negative; no year 0. Pre-Christian-era dates often approximate.,,,,,
polity_eur_0004,青铜时代,Trojan,Kingdom of Troy,Ilios|Wilusa,特洛伊王国,,verified,,kingdom,-1300,公元前1300年,-1180,公元前1180年,公元前1300年-公元前1180年,year,安纳托利亚西北角希萨利克丘的城邦，控制达达尼尔海峡贸易。,TUR,Troy,Troy,,Anatolian Bronze Age,,Priam (legendary),Destroyed in Trojan War (legendary),Encyclopaedia Britannica: Greek civilization,https://www.britannica.com/topic/ancient-Greek-civilization,,55,Troy VIIa destruction layer often equated with Trojan War; Homeric account is legendary.,BCE years are negative; no year 0. Pre-Christian-era dates often approximate.,,,,,
polity_eur_0005,青铜时代,Hittite,Hittite Kingdom (Anatolian context),Hatti|Hittites,赫梯王国（安纳托利亚联络体）,,verified,,kingdom,-1650,公元前1650年,-1180,公元前1180年,公元前1650年-公元前1180年,year,安纳托利亚高原；与迈锡尼希腊、特洛伊有外交与冲突。,TUR|SYR,Hattusa,Hattusa,Hittite royal house,Anatolian Indo-European,,,Sea Peoples / Phrygians,Encyclopaedia Britannica: Greek civilization,https://www.britannica.com/topic/ancient-Greek-civilization,,70,Listed in vEuropean as Anatolian neighbor; primary coverage belongs to a future vNearEast dataset.,BCE years are negative; no year 0. Pre-Christian-era dates often approximate.,,,,,
polity_eur_0006,青铜时代,Cycladic,Cycladic Civilization,Cyclades culture,基克拉迪文明,,verified,,civilization,-3000,公元前3000年,-1100,公元前1100年,公元前3000年-公元前1100年,year,爱琴海中部基克拉迪群岛；以大理石雕像与海上贸易闻名。,GRC,,,,Aegean Bronze Age,,,,Encyclopaedia Britannica: Minoan civilization,https://www.britannica.com/topic/Minoan-civilization,,55,"Pre-Minoan and contemporaneous Aegean island culture; no centralized polity, dates archaeological.",BCE years are negative; no year 0. Pre-Christian-era dates often approximate.,,,,,
polity_eur_0007,青铜时代,Villanovan,Proto-Etruscan / Villanovan,Villanovan culture,前埃特鲁里亚 / 维兰诺瓦文化,,verified,,culture,-1100,公元前1100年,-700,公元前700年,公元前1100年-公元前700年,year,意大利中部托斯卡纳与拉齐奥北部；埃特鲁里亚文明先驱。,ITA,,,,Italic Iron Age proto-culture,,,Etruscan League,Encyclopaedia Britannica: Italy — History,https://www.britannica.com/place/Italy/History,,55,Iron Age culture transitioning into historical Etruscan polities.,BCE years are negative; no year 0. Pre-Christian-era dates often approximate.,,,,,
polity_eur_0008,青铜时代,Argaric,Bronze Age Iberia (El Argar),El Argar culture,伊比利亚青铜时代（阿尔加文化）,,verified,,culture,-2200,公元前2200年,-1550,公元前1550年,公元前2200年-公元前1550年,year,伊比利亚半岛东南部，以山顶聚落与冶金著称。,ESP,,,,Iberian Bronze Age,,,,Encyclopaedia Britannica: Spain — History,https://www.britannica.com/place/Spain/History,,55,Archaeological culture; no named rulers or capitals.,BCE years are negative; no year 0. Pre-Christian-era dates often approximate.,,,,,
polity_eur_0009,青铜时代,Nordic Bronze,Nordic Bronze Age,Nordic Bronze Age culture,北欧青铜时代,,verified,,culture,-1750,公元前1750年,-500,公元前500年,公元前1750年-公元前500年,year,斯堪的纳维亚南部与日德兰半岛；岩画与青铜器证据。,DNK|NOR|SWE,,,,Nordic Bronze Age,,,,Encyclopaedia Britannica: Minoan civilization,https://www.britannica.com/topic/Minoan-civilization,,50,"Cultural horizon, not a political entity; included to mark Northern European Bronze Age era.",BCE years are negative; no year 0. Pre-Christian-era dates often approximate.,,,,,
polity_eur_0010,青铜时代,Urnfield,Urnfield Culture,Hallstatt-precursor|Urnfield,骨灰瓮文化,,verified,,culture,-1300,公元前1300年,-750,公元前750年,公元前1300年-公元前750年,year,中欧多瑙河流域；以骨灰瓮葬俗为标志，前凯尔特先驱。,DEU|AUT|CZE|HUN|POL,,,,Central European Bronze Age,,,Hallstatt (Iron Age Celts),Encyclopaedia Britannica: History of Europe,https://www.britannica.com/topic/history-of-Europe,,55,Late Bronze Age cultural horizon transitioning into Iron Age Hallstatt/Celtic cultures.,BCE years are negative; no year 0. Pre-Christian-era dates often approximate.,,,,,
