ruler_id,polity_id,polity_name,ruler_name,ruler_title,ruler_temple_name,ruler_posthumous_name,ruler_personal_name,ruler_reign_start_year,ruler_reign_start_label,ruler_reign_end_year,ruler_reign_end_label,ruler_reign_raw,ruler_reign_precision,era_names,ruler_source_title,ruler_source_url,ruler_source_section,ruler_confidence_score,ruler_confidence_note,merged_from_v02_rows
ruler_00001,polity_0001,丁零,翟斌,,,,翟斌,330,330年,384,384年,330年－384年,year,,五胡十六国君主列表 - 维基百科,https://zh.wikipedia.org/wiki/%E4%BA%94%E8%83%A1%E5%8D%81%E5%85%AD%E5%9B%BD%E5%90%9B%E4%B8%BB%E5%88%97%E8%A1%A8,十六國外政權 > 翟魏 > 丁零,65,,"32011,32020,32029,32039,32049,32058,32068,32078,32090,32101,32111,32121,32132,32143,32154,32164,32174,32183,32191,32200,32209,32219,32228,32238,32246,32256,32264,32273,32281,32288,32296,32304,32311,32319,32326,32334,32341,32348,32355,32362,32369,32376,32383,32388,32393,32398,32403,32407,32410,32413,32416,32419,32422,32425,32430"
ruler_00002,polity_0001,丁零,翟真,,,,翟真,384,384年,385,385年,384年－385年,year,,五胡十六国君主列表 - 维基百科,https://zh.wikipedia.org/wiki/%E4%BA%94%E8%83%A1%E5%8D%81%E5%85%AD%E5%9B%BD%E5%90%9B%E4%B8%BB%E5%88%97%E8%A1%A8,十六國外政權 > 翟魏 > 丁零,65,,32431
ruler_00003,polity_0002,东吴,大帝,大帝,,,,222,222年,252,252年,222 252,year,,教育部《重编国语辞典修订本》中国历代帝王年表,https://dict.revised.moe.edu.tw/appendix.jsp?ID=2&la=0&page=*&powerMode=0,page=1; 三國>吳,86,,"31584,31587,31591,31594,31598,31601,31604,31607,31610,31613,31616,31619,31622,31625,31628,31631,31634,31638,31641,31644,31647,31650,31653,31656,31659,31662,31665,31668,31671,31674,31677"
ruler_00004,polity_0002,东吴,景帝,景帝,,,,258,258年,264,264年,258 264,year,,教育部《重编国语辞典修订本》中国历代帝王年表,https://dict.revised.moe.edu.tw/appendix.jsp?ID=2&la=0&page=*&powerMode=0,page=1; 三國>吳,86,,"31698,31701,31705,31708,31711,31714,31717"
ruler_00005,polity_0002,东吴,會稽王,會稽王,,,,252,252年,258,258年,252 258,year,,教育部《重编国语辞典修订本》中国历代帝王年表,https://dict.revised.moe.edu.tw/appendix.jsp?ID=2&la=0&page=*&powerMode=0,page=1; 三國>吳,86,,"31678,31681,31685,31688,31691,31694,31697"
ruler_00006,polity_0002,东吴,烏程公,烏程公,,,,264,264年,280,280年,264 280,year,,教育部《重编国语辞典修订本》中国历代帝王年表,https://dict.revised.moe.edu.tw/appendix.jsp?ID=2&la=0&page=*&powerMode=0,page=1; 三國>吳,86,,"31718,31720,31722,31724,31726,31728,31730,31732,31734,31736,31738,31740,31742,31744,31746,31748,31750"
ruler_00007,polity_0003,东周,僖王,僖王,,,,-681,前681年,-677,前677年,B.C.681 B.C.677,year,,教育部《重编国语辞典修订本》中国历代帝王年表,https://dict.revised.moe.edu.tw/appendix.jsp?ID=2&la=0&page=*&powerMode=0,page=1; 周>東周,86,,"18487,18538,18588,18638,18687"
ruler_00008,polity_0003,东周,元王,元王,,,,-475,前475年,-469,前469年,B.C.475 B.C.469,year,,教育部《重编国语辞典修订本》中国历代帝王年表,https://dict.revised.moe.edu.tw/appendix.jsp?ID=2&la=0&page=*&powerMode=0,page=1; 周>東周,86,,"26079,26103,26127,26150,26173,26196,26219"
ruler_00009,polity_0003,东周,匡王,匡王,,,,-612,前612年,-607,前607年,B.C.612 B.C.607,year,,教育部《重编国语辞典修订本》中国历代帝王年表,https://dict.revised.moe.edu.tw/appendix.jsp?ID=2&la=0&page=*&powerMode=0,page=1; 周>東周,86,,"21550,21588,21626,21664,21702,21740"
ruler_00010,polity_0003,东周,周僖王,周僖王,,,胡齐,-681,前681年,-677,前677年,前681年－前677年,year,,周朝君主列表 - 维基百科,https://zh.wikipedia.org/wiki/%E5%91%A8%E6%9C%9D%E5%90%9B%E4%B8%BB%E5%88%97%E8%A1%A8,东周君主,70,,"18488,18539,18589,18639,18688"
ruler_00011,polity_0003,东周,周元王,周元王,,,仁,-476,前476年,-469,前469年,前476年－前469年,year,,周朝君主列表 - 维基百科,https://zh.wikipedia.org/wiki/%E5%91%A8%E6%9C%9D%E5%90%9B%E4%B8%BB%E5%88%97%E8%A1%A8,东周君主,70,,"26055,26078,26102,26126,26149,26172,26195,26218"
