polity_id,macro_period,dynasty_name,polity_name,polity_aliases,polity_display_name,polity_name_disambiguation,polity_name_review_status,polity_name_risk_flags,polity_type,polity_start_year,polity_start_label,polity_end_year,polity_end_label,polity_date_raw,polity_date_precision,historical_geography_raw,modern_admin_units_raw,capital_historical,capital_modern,ruling_family_or_clan,ethnicity_or_group,founder,last_ruler,destroyed_by_or_successor,polity_source_titles,polity_source_urls,polity_source_raw,confidence_score,confidence_note,calendar_system_note,v02_row_count,v02_actual_min_year,v02_actual_max_year,v02_actual_years,merged_from_v02_contexts
polity_ind_0001,史前与原史时期,印度河文明,早期哈拉帕文化,Early Harappan,早期哈拉帕文化,,verified,,archaeological_culture,-3300,公元前3300年,-2600,公元前2600年,公元前3300年-公元前2600年,approx,Indus and Ghaggar-Hakra related urbanizing zones,Pakistan Sindh/Punjab|India Haryana/Rajasthan/Gujarat,,,,,,,,"Digital South Asia Library: A Historical Atlas of South Asia|NCERT Themes in Indian History, Part I|Encyclopaedia Britannica: Indus civilization",https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://ncert.nic.in/textbook/pdf/lehs101.pdf|https://www.britannica.com/topic/Indus-civilization,,70,"Archaeological culture layer, not a centralized polity.",BCE years are negative; no year 0. Dates before early historic inscriptions are approximate.,,,,,
polity_ind_0002,史前与原史时期,印度河文明,成熟哈拉帕/印度河文明,Mature Harappan|Indus civilization,成熟哈拉帕/印度河文明,,verified,,civilization_complex,-2600,公元前2600年,-1900,公元前1900年,公元前2600年-公元前1900年,approx,Indus basin and western India urban network,Pakistan Sindh/Punjab/Balochistan|India Gujarat/Rajasthan/Haryana,,,,,,,,"Digital South Asia Library: A Historical Atlas of South Asia|NCERT Themes in Indian History, Part I|UNESCO World Heritage Centre: Dholavira, a Harappan City|Encyclopaedia Britannica: Indus civilization",https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://ncert.nic.in/textbook/pdf/lehs101.pdf|https://whc.unesco.org/en/list/1645|https://www.britannica.com/topic/Indus-civilization,,78,Urban civilization complex; political unity is not assumed.,BCE years are negative; no year 0. Dates before early historic inscriptions are approximate.,,,,,
polity_ind_0003,史前与原史时期,印度河文明,晚期哈拉帕文化,Late Harappan,晚期哈拉帕文化,,verified,,archaeological_culture,-1900,公元前1900年,-1300,公元前1300年,公元前1900年-公元前1300年,approx,Post-urban regional cultures across northwestern South Asia,Pakistan|Northwestern India,,,,,,,,"Digital South Asia Library: A Historical Atlas of South Asia|NCERT Themes in Indian History, Part I|Encyclopaedia Britannica: Indus civilization",https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://ncert.nic.in/textbook/pdf/lehs101.pdf|https://www.britannica.com/topic/Indus-civilization,,68,Represents cultural transition after mature urban phase.,BCE years are negative; no year 0. Dates before early historic inscriptions are approximate.,,,,,
polity_ind_0004,吠陀与列国时期,吠陀时期,吠陀文化圈,Vedic period,吠陀文化圈,,verified,,cultural_horizon,-1500,公元前1500年,-600,公元前600年,公元前1500年-公元前600年,approx,"Punjab, Ganga-Yamuna doab and northern India in expanding phases",India Punjab/Haryana/Uttar Pradesh|Pakistan Punjab,,,,,,,,"Digital South Asia Library: A Historical Atlas of South Asia|NCERT Themes in Indian History, Part I|Encyclopaedia Britannica: Vedic religion",https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://ncert.nic.in/textbook/pdf/lehs101.pdf|https://www.britannica.com/topic/Vedic-religion,,62,Cultural horizon; not represented as a single state.,BCE years are negative; no year 0. Dates before early historic inscriptions are approximate.,,,,,
polity_ind_0005,吠陀与列国时期,十六大国,鸯伽,Anga,鸯伽,,verified,,mahajanapada,-600,公元前600年,-530,前530年,前600年－前530年,approx,Bihar/Jharkhand/West Bengal borderlands,IN-BR|IN-JH|IN-WB,Champa,Champa,,,,,,"Digital South Asia Library: A Historical Atlas of South Asia|NCERT Themes in Indian History, Part I|Encyclopaedia Britannica: Magadha",https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://ncert.nic.in/textbook/pdf/lehs101.pdf|https://www.britannica.com/place/Magadha,[系统修正：约前530年被摩揭陀国王频毗娑罗吞并],66,Mahajanapada dates are conventional approximations.,BCE years are negative; no year 0. Dates before early historic inscriptions are approximate.,,,,,
polity_ind_0006,吠陀与列国时期,十六大国,阿湿波/阿萨卡,Assaka|Asmaka,阿湿波/阿萨卡,,verified,,mahajanapada,-600,公元前600年,-300,公元前300年,公元前600年-公元前300年,approx,Godavari valley,IN-MH|IN-TG,Potana,Potana,,,,,,"Digital South Asia Library: A Historical Atlas of South Asia|NCERT Themes in Indian History, Part I|Encyclopaedia Britannica: Magadha",https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://ncert.nic.in/textbook/pdf/lehs101.pdf|https://www.britannica.com/place/Magadha,,66,Mahajanapada dates are conventional approximations.,BCE years are negative; no year 0. Dates before early historic inscriptions are approximate.,,,,,
polity_ind_0007,吠陀与列国时期,十六大国,阿槃提,Avanti,阿槃提,,verified,,mahajanapada,-600,公元前600年,-400,前400年,前600年－前400年,approx,Malwa and Narmada region,IN-MP,Ujjain,Ujjain,,,,,,"Digital South Asia Library: A Historical Atlas of South Asia|NCERT Themes in Indian History, Part I|Encyclopaedia Britannica: Magadha",https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://ncert.nic.in/textbook/pdf/lehs101.pdf|https://www.britannica.com/place/Magadha,[系统修正：约前400年被摩揭陀希舒那伽王朝消灭],66,Mahajanapada dates are conventional approximations.,BCE years are negative; no year 0. Dates before early historic inscriptions are approximate.,,,,,
polity_ind_0008,吠陀与列国时期,十六大国,支提,Chedi,支提,,verified,,mahajanapada,-600,公元前600年,-300,公元前300年,公元前600年-公元前300年,approx,Bundelkhand region,IN-MP|IN-UP,,,,,,,,"Digital South Asia Library: A Historical Atlas of South Asia|NCERT Themes in Indian History, Part I|Encyclopaedia Britannica: Magadha",https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://ncert.nic.in/textbook/pdf/lehs101.pdf|https://www.britannica.com/place/Magadha,,66,Mahajanapada dates are conventional approximations.,BCE years are negative; no year 0. Dates before early historic inscriptions are approximate.,,,,,
polity_ind_0009,吠陀与列国时期,十六大国,犍陀罗,Gandhara,犍陀罗,,verified,,mahajanapada,-600,公元前600年,-300,公元前300年,公元前600年-公元前300年,approx,Peshawar and Taxila region,PK-KP|PK-PB|AFG,Taxila,Taxila,,,,,,"Digital South Asia Library: A Historical Atlas of South Asia|NCERT Themes in Indian History, Part I|Encyclopaedia Britannica: Magadha",https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://ncert.nic.in/textbook/pdf/lehs101.pdf|https://www.britannica.com/place/Magadha,,66,Mahajanapada dates are conventional approximations.,BCE years are negative; no year 0. Dates before early historic inscriptions are approximate.,,,,,
polity_ind_0010,吠陀与列国时期,十六大国,剑浮沙,Kamboja,剑浮沙,,verified,,mahajanapada,-600,公元前600年,-300,公元前300年,公元前600年-公元前300年,approx,Northwestern frontier,AFG|PAK,,,,,,,,"Digital South Asia Library: A Historical Atlas of South Asia|NCERT Themes in Indian History, Part I|Encyclopaedia Britannica: Magadha",https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://ncert.nic.in/textbook/pdf/lehs101.pdf|https://www.britannica.com/place/Magadha,,66,Mahajanapada dates are conventional approximations.,BCE years are negative; no year 0. Dates before early historic inscriptions are approximate.,,,,,
