location_id,name,aliases,category,icon_key,importance_level,display_priority,start_year,end_year,active_years_raw,related_event_ids,related_anecdote_ids,related_polity_ids,related_people,historical_name,modern_name,modern_admin_units_raw,longitude,latitude,location_precision,location_confidence_score,strategic_summary,historical_significance,source_titles,source_urls,source_type,confidence_note,review_status,review_note
strategic_0001,函谷关,秦函谷关|桃林塞|崤函,pass,gate,5,1,-770,1912,-361:-206|184,,,,"",函谷关,河南省三门峡市灵宝市函谷关镇一带,河南省三门峡市灵宝市,110.937,34.626,exact,88,关中平原东出中原的核心关口，扼崤山黄河南岸通道。,秦汉以来函谷关常被用来概括关中东门户与中原西进入口，秦据此屏障经营东方六国，楚汉与东汉末年叙事中亦常见“函谷”作为战略边界。,CHGIS中国历史地理信息系统|《中国历史地图集》|《史记》,https://chgis.fas.harvard.edu/pages/intro/|https://east.library.utoronto.ca/internet-resource/chinese-civilization-time-and-space|https://ctext.org/shiji/zh,historical_atlas|classic_text,坐标取灵宝函谷关遗址景区附近，古关具体位置与秦汉关址存在层次差异。,verified,首批战略关隘核心点。
strategic_0002,虎牢关,汜水关|成皋关|虎牢,pass,gate,5,1,-770,1912,-632|-205|621,,,,"",虎牢关,河南省郑州市荥阳市汜水镇一带,河南省郑州市荥阳市,113.118,34.830,region,82,洛阳东门户与黄河南岸交通节点，控成皋汜水一线。,虎牢关所在成皋汜水地带是关中洛阳与山东平原之间的战略瓶颈，楚汉相争和唐初虎牢之战均体现其锁钥价值。,CHGIS中国历史地理信息系统|《中国历史地图集》|《资治通鉴》,https://chgis.fas.harvard.edu/pages/intro/|https://east.library.utoronto.ca/internet-resource/chinese-civilization-time-and-space|https://ctext.org/zizhi-tongjian/zh,historical_atlas|classic_text,坐标按汜水镇虎牢关传统区域近似，具体古战场范围较大。,verified,首批战略关隘核心点。
strategic_0003,潼关,桃林塞|潼津|潼关故城,pass,gate,5,1,100,1912,756|886|1644,,,,"",潼关,陕西省渭南市潼关县秦东镇一带,陕西省渭南市潼关县,110.246,34.545,exact,86,黄河渭河与秦岭北麓之间的关中东大门。,潼关扼守关中与河南的交通咽喉，唐代安史之乱以及明末清军入关后的西进均显示其对都城长安与关中安全的直接影响。,CHGIS中国历史地理信息系统|《中国历史地图集》|《资治通鉴》,https://chgis.fas.harvard.edu/pages/intro/|https://east.library.utoronto.ca/internet-resource/chinese-civilization-time-and-space|https://ctext.org/zizhi-tongjian/zh,historical_atlas|classic_text,坐标取潼关故城与黄河渡口控制区附近。,verified,首批战略关隘核心点。
strategic_0004,山海关,榆关|天下第一关,frontier_gate,gate,5,1,1381,1945,1644|1900|1933,,,,"",山海关,河北省秦皇岛市山海关区,河北省秦皇岛市,119.758,40.006,exact,90,明长城东端入海处的辽西走廊锁钥。,山海关连接华北与东北，是明清鼎革与近现代东北战局中的关键入口，兼具长城防线和海陆交通节点双重意义。,CHGIS中国历史地理信息系统|《中国历史地图集》|Encyclopaedia Britannica: Great Wall of China,https://chgis.fas.harvard.edu/pages/intro/|https://east.library.utoronto.ca/internet-resource/chinese-civilization-time-and-space|https://www.britannica.com/topic/Great-Wall-of-China,historical_atlas|secondary_reference,坐标取山海关关城核心区。,verified,首批战略关隘核心点。
strategic_0005,居庸关,军都关|居庸塞,frontier_gate,gate,5,1,-221,1912,1215|1449|1644,,,,"",居庸关,北京市昌平区南口镇居庸关村,北京市昌平区,116.069,40.290,exact,88,北京西北山地通道和长城防御体系的重要关口。,居庸关控制太行军都山通道，是从蒙古高原和宣大方向逼近北京的要隘，元明清时期多次成为京师安全屏障。,CHGIS中国历史地理信息系统|《中国历史地图集》|Encyclopaedia Britannica: Great Wall of China,https://chgis.fas.harvard.edu/pages/intro/|https://east.library.utoronto.ca/internet-resource/chinese-civilization-time-and-space|https://www.britannica.com/topic/Great-Wall-of-China,historical_atlas|secondary_reference,坐标取居庸关关城遗址核心区。,verified,首批战略关隘核心点。
strategic_0006,剑门关,剑阁|剑门蜀道,pass,gate,5,1,220,1912,263|755|1644,,,,"",剑门关,四川省广元市剑阁县剑门关镇,四川省广元市剑阁县,105.569,32.219,exact,88,蜀道北段最著名险关，扼陕西入蜀通道。,剑门关依剑门山险势控制秦蜀交通，三国伐蜀、唐宋以来四川防御和入蜀交通均绕不开这一山地瓶颈。,CHGIS中国历史地理信息系统|《中国历史地图集》|《三国志》,https://chgis.fas.harvard.edu/pages/intro/|https://east.library.utoronto.ca/internet-resource/chinese-civilization-time-and-space|https://ctext.org/sanguozhi/zh,historical_atlas|classic_text,坐标取剑门关关楼及古蜀道核心区。,verified,首批战略关隘核心点。
strategic_0007,武关,商於武关|秦楚武关,pass,gate,4,2,-770,1912,-299|-206,,,,"",武关,陕西省商洛市丹凤县武关镇,陕西省商洛市丹凤县,110.595,33.660,region,82,关中东南门户，联通商洛丹江谷地与南阳盆地。,武关是秦楚之间和关中通往江汉地区的重要通道，战国纵横与楚汉入关叙事均与此有关。,CHGIS中国历史地理信息系统|《中国历史地图集》|《史记》,https://chgis.fas.harvard.edu/pages/intro/|https://east.library.utoronto.ca/internet-resource/chinese-civilization-time-and-space|https://ctext.org/shiji/zh,historical_atlas|classic_text,坐标按丹凤武关镇传统关址区域近似。,verified,关中四塞相关点。
strategic_0008,大散关,散关|陈仓散关,pass,gate,4,2,-221,1912,206|1131,,,,"",大散关,陕西省宝鸡市渭滨区大散关镇一带,陕西省宝鸡市,106.987,34.218,region,80,关中西南门户，控陈仓道与秦岭通道。,大散关扼关中通往汉中四川的山道，秦汉交通与宋金战争均使其成为南北对峙前沿。,CHGIS中国历史地理信息系统|《中国历史地图集》|《资治通鉴》,https://chgis.fas.harvard.edu/pages/intro/|https://east.library.utoronto.ca/internet-resource/chinese-civilization-time-and-space|https://ctext.org/zizhi-tongjian/zh,historical_atlas|classic_text,坐标按宝鸡大散关传统区域近似。,verified,关中四塞相关点。
strategic_0009,萧关,陇山萧关|六盘山萧关,frontier_gate,gate,4,2,-221,1912,-121|756|1227,,,,"",萧关,宁夏固原市原州区东南一带,宁夏回族自治区固原市,106.285,35.992,region,72,关中西北与陇右草原边缘之间的边防关口。,萧关常见于秦汉唐宋西北边防叙事，控制陇山六盘山间通道，兼具边防和交通廊道意义。,CHGIS中国历史地理信息系统|《中国历史地图集》|《资治通鉴》,https://chgis.fas.harvard.edu/pages/intro/|https://east.library.utoronto.ca/internet-resource/chinese-civilization-time-and-space|https://ctext.org/zizhi-tongjian/zh,historical_atlas|classic_text,萧关古址说法不一，坐标取固原东南传统范围。,verified,古址有争议但战略范围明确。
strategic_0010,雁门关,句注塞|西陉关,frontier_gate,gate,5,1,-300,1912,-200|980|1449,,,,"",雁门关,山西省忻州市代县雁门关镇,山西省忻州市代县,112.873,39.192,exact,88,晋北长城与内外交通的核心关口。,雁门关控制代州北出塞外的通道，汉匈边防、宋辽对峙和明代北边防御均凸显其战略价值。,CHGIS中国历史地理信息系统|《中国历史地图集》|《资治通鉴》,https://chgis.fas.harvard.edu/pages/intro/|https://east.library.utoronto.ca/internet-resource/chinese-civilization-time-and-space|https://ctext.org/zizhi-tongjian/zh,historical_atlas|classic_text,坐标取雁门关关城核心区。,verified,首批北方边防关口。
strategic_0011,娘子关,苇泽关|井陉西口,pass,gate,4,2,600,1912,756|1937,,,,"",娘子关,山西省阳泉市平定县娘子关镇,山西省阳泉市平定县,113.867,37.968,exact,80,太行八陉之一井陉的西口要点。,娘子关扼太行山东西交通，既连晋冀两地，又在近代平汉铁路与抗战山西战局中具有通道价值。,CHGIS中国历史地理信息系统|《中国历史地图集》|Encyclopaedia Britannica: Second Sino-Japanese War,https://chgis.fas.harvard.edu/pages/intro/|https://east.library.utoronto.ca/internet-resource/chinese-civilization-time-and-space|https://www.britannica.com/event/Second-Sino-Japanese-War,historical_atlas|secondary_reference,坐标取娘子关关城核心区。,verified,太行通道节点。
