order,version,phase,release_item,item_base_norm,matched_contexts,matched_polity_names,declared_ranges,actual_year_ranges,row_count,actual_year_count,boundary_extra_count,missing_year_count,boundary_extra_years,missing_years,source_titles,source_raw,status,review_note
1,v1.0.0-batch17_18 (Final Batch),宋元明清时期 第 17 及 18 批,北汉,北汉,五代十国/五代十国 | 五代十国/十国,北漢 | 北汉,951..979 | 951..979,951..979 | 951..979,60,58,0,0,,,《宋史·世家》,979年宋太宗赵光义亲征攻克太原，北汉主刘继元投降，北汉亡 | 979年降宋,PASS_YEAR_COVERAGE,
2,v1.0.0-batch17_18 (Final Batch),宋元明清时期 第 17 及 18 批,后周(二次核对),后周,五代十国/五代 | 五代十国/五代十国,后周 | 後周,951..960 | 951..960,951..960 | 951..960,33,20,0,0,,,《旧五代史·周书》/《宋史》,960年赵匡胤陈桥兵变建立宋朝，后周灭亡,PASS_YEAR_COVERAGE,
3,v1.0.0-batch17_18 (Final Batch),宋元明清时期 第 17 及 18 批,武平军,武平军,五代十国/五代十国,武平军,951..963,951..953,4,3,0,10,,武平军:954..963,《宋史》/《新五代史》,951年刘言等割据湖南(原马楚地)，963年周保权降宋，武平军节度使割据终结,FAIL_MISSING_YEARS,v0.2 metadata and expanded year rows are inconsistent; regenerate/remove/add rows for this polity context.
4,v1.0.0-batch17_18 (Final Batch),宋元明清时期 第 17 及 18 批,北汉(异体),北汉,五代十国/五代十国 | 五代十国/十国,北漢 | 北汉,951..979 | 951..979,951..979 | 951..979,60,58,0,0,,,《宋史·世家》,979年宋太宗赵光义亲征攻克太原，北汉主刘继元投降，北汉亡 | 979年降宋,PASS_YEAR_COVERAGE,
5,v1.0.0-batch17_18 (Final Batch),宋元明清时期 第 17 及 18 批,北宋,北宋,宋辽金夏/宋辽金夏,北宋,960..1127,960..1127,176,168,0,0,,,《宋史·钦宗纪》,1127年靖康之变，金军攻破开封俘虏徽钦二帝，北宋灭亡,PASS_YEAR_COVERAGE,
6,v1.0.0-batch17_18 (Final Batch),宋元明清时期 第 17 及 18 批,西夏,西夏,宋辽金夏/宋辽金夏,西夏,1038..1227,1038..1227,192,190,0,0,,,《西夏书事》/《元史》,1227年夏末帝李睍投降蒙古，随后被杀，西夏灭亡,PASS_YEAR_COVERAGE,
7,v1.0.0-batch17_18 (Final Batch),宋元明清时期 第 17 及 18 批,金朝,金朝,宋辽金夏/宋辽金夏,金朝,1115..1234,1115..1234,128,120,0,0,,,《金史·哀宗本纪》,1234年蒙宋联军攻破蔡州，金哀宗自缢，金末帝战死，金朝亡,PASS_YEAR_COVERAGE,
8,v1.0.0-batch17_18 (Final Batch),宋元明清时期 第 17 及 18 批,西辽,西辽,宋辽金夏/宋辽金夏,西遼,1124..1218,1124..1218,95,95,0,0,,,《辽史》/《元史》,1218年哲别率领蒙古大军攻灭西辽（屈出律被杀）,PASS_YEAR_COVERAGE,
9,v1.0.0-batch17_18 (Final Batch),宋元明清时期 第 17 及 18 批,南宋,南宋,宋辽金夏/宋辽金夏,南宋,1127..1279,1127..1279,161,153,0,0,,,《宋史·二王本纪》,1279年崖山海战，陆秀夫负帝昺投海殉国，南宋彻底灭亡,PASS_YEAR_COVERAGE,
10,v1.0.0-batch17_18 (Final Batch),宋元明清时期 第 17 及 18 批,元朝,元朝,元明清/元明清,元朝,1271..1368,1271..1368,108,98,0,0,,,《元史》/《明史》,1368年明军将领徐达攻陷大都，元顺帝北逃，作为中原大一统王朝的元朝结束,PASS_YEAR_COVERAGE,
