myth_id,tradition_name,tradition_type,mythic_cycle,title,variant_title,relative_sequence,traditional_year,year,year_label,date_precision,coverage_start_year,coverage_end_year,calendar_note,geographic_scope,location_name,longitude,latitude,location_precision,related_historical_polity_ids,related_people_or_deities,related_texts,summary,cultural_significance,historicity_status,historical_boundary_note,source_titles,source_urls,source_type,confidence_score,confidence_note,review_status,review_note
myth_ind_0001,吠陀神话与赞歌传统,ritual_text_context,Vedic hymnic tradition,梨俱吠陀诸神与祭祀赞歌的文化层,,01,,-1500,1500 BCE,literary_layer_range,-1500,-1000,BCE negative years mark textual-cultural horizon not event occurrence,Northwestern South Asia and early Indo-Gangetic transition,,,,,,Indra|Agni|Soma|Varuna,Rigveda,保存早期吠陀社会的祭祀观念与神话叙事；可作为文化时间线背景播放，不等同于单一政权或可逐年定位事件。,为理解后续印度宗教、王权礼仪和史诗传统提供前史背景。,textual_cultural_horizon,不得把吠陀神话人物或赞歌情节写入确定历史政权年表；仅作为文化和文本传统层展示。,NCERT Themes in Indian History Part I|Encyclopaedia Britannica: Vedic religion,https://ncert.nic.in/textbook/pdf/lehs101.pdf|https://www.britannica.com/topic/Vedic-religion,education_source|encyclopedia,72,年代为学术通行的文本层近似范围；不代表每个叙事的发生年代。,verified,
myth_ind_0002,罗摩衍那史诗传统,epic,Ramayana cycle,罗摩衍那叙事循环,,02,traditional Treta Yuga,-300,300 BCE,literary_layer_range,-300,200,Timeline year marks approximate literary formation horizon,North India and wider South Asian cultural sphere,Ayodhya,82.1998,26.7922,city,polity_ind_0012,Rama|Sita|Lakshmana|Hanuman|Ravana,Valmiki Ramayana,以阿逾陀王子罗摩、悉多和兰卡战争为核心的史诗传统；可在神话时间线中播放为文学和宗教文化事件。,深刻影响印度与东南亚文学、节庆、王权伦理和视觉艺术。,epic_tradition,不把罗摩、十车王或兰卡战争作为已证实的逐年政治事件；若关联拘萨罗，仅表示史诗地理和文化记忆。,Encyclopaedia Britannica: Ramayana|Encyclopaedia Britannica: Kosala,https://www.britannica.com/topic/Ramayana-Indian-epic|https://www.britannica.com/place/Kosala,encyclopedia,76,Britannica 将其列为史诗并说明成书不早于约前300年；地理点为阿逾陀城市级定位。,verified,
myth_ind_0003,太阳王朝谱系传统,puranic_genealogy,Ramayana and Puranic royal genealogies,拘萨罗与太阳王朝谱系,,03,mythic royal genealogy,-600,600 BCE,mythic_relative,-700,-300,Relative placement follows early epic and mahajanapada cultural horizon,Kosala and Ayodhya region,Ayodhya,82.1998,26.7922,city,polity_ind_0012,Rama|Ikshvaku|Solar dynasty,Ramayana|Puranas,史诗和往世书传统把拘萨罗王统追溯到太阳王朝；这是一种王权合法性叙事，而非可直接逐年验证的君主表。,说明史诗谱系如何影响古代和中世纪王朝的祖源叙述。,puranic_chronology,拘萨罗史实行仅保留十六大国时期的可核验政治框架；太阳王朝长谱系不得直接生成年表行。,Encyclopaedia Britannica: Kosala|Encyclopaedia Britannica: Ramayana,https://www.britannica.com/place/Kosala|https://www.britannica.com/topic/Ramayana-Indian-epic,encyclopedia,68,源文本与历史地理有关联，但谱系长度和纪年属于传统叙事。,verified,
myth_ind_0004,摩诃婆罗多史诗传统,epic,Mahabharata cycle,俱卢之战与般度族叙事,,04,traditional Kurukshetra war,-400,400 BCE,literary_layer_range,-400,400,Timeline year marks approximate epic formation horizon,Kuru-Panchala and North India,Kurukshetra,76.817,29.9695,city,polity_ind_0013|polity_ind_0017,Krishna|Arjuna|Yudhishthira|Duryodhana|Bhishma,Mahabharata,以俱卢族内战为核心的史诗传统；其战争年代和历史发生性存在争论，但文本本身是研究早期印度宗教和社会观念的重要资料。,影响印度伦理、政治思想、神学、戏剧和民间叙事。,epic_tradition,不得将俱卢之战作为已证实的具体年份战争写入历史事件表；可与俱卢、般阇罗作文化地理关联。,Encyclopaedia Britannica: Mahabharata|NCERT Themes in Indian History Part I,https://www.britannica.com/topic/Mahabharata|https://ncert.nic.in/textbook/pdf/lehs101.pdf,encyclopedia|education_source,74,Britannica 明确战争年代和发生性有争论；年份只用于播放排序。,verified,
myth_ind_0005,薄伽梵歌传统,epic,Mahabharata cycle,薄伽梵歌作为摩诃婆罗多神学层,,05,within Mahabharata narrative,-200,200 BCE,literary_layer_range,-200,200,Approximate textual layer within epic growth,Kurukshetra region,Kurukshetra,76.817,29.9695,city,polity_ind_0013|polity_ind_0017,Krishna|Arjuna,Bhagavad Gita|Mahabharata,《薄伽梵歌》作为史诗中的神学与伦理对话，可作为宗教思想时间线节点展示。,它是后世印度宗教哲学、奉爱传统和政治伦理解读的重要文本。,textual_cultural_horizon,作为文本和思想史节点保存，不作为战场对话的可核验逐年史实。,Encyclopaedia Britannica: Mahabharata,https://www.britannica.com/topic/Mahabharata,encyclopedia,70,时间为文本层近似值；地理点跟随史诗设定而非考古确证。,verified,
myth_ind_0006,往世书王统传统,puranic_genealogy,Epic-Puranic royal genealogies,月亮王朝与太阳王朝长谱系,,06,mythic dynastic ages,-1000,1000 BCE,mythic_relative,-1500,500,Relative placement only; no exact historical year,North India and pan-Indic royal memory,,,,,,Lunar dynasty|Solar dynasty|Yayati|Puru|Bharata,Puranas|Mahabharata|Ramayana,往世书和史诗把许多王朝祖先纳入太阳、月亮等长谱系；这些谱系可用于文化记忆研究，但不能直接当作历史君主年表。,解释南亚多个王族为何借用神话祖源来塑造合法性。,puranic_chronology,凡缺少铭文、钱币或同时代文本支撑的长谱系，只进入神话时间线或争议表，不进入 polity yearly。,Encyclopaedia Britannica: Mahabharata|Encyclopaedia Britannica: Ramayana,https://www.britannica.com/topic/Mahabharata|https://www.britannica.com/topic/Ramayana-Indian-epic,encyclopedia,66,该行概括史诗-往世书谱系传统；需要后续专题研究细分各谱系。,verified,
myth_ind_0007,特里普拉 Rajmala 王统传统,regional_royal_chronicle,Rajmala Tripura kings,《Rajmala》早期特里普拉王表,,07,traditional 5000 year dynasty,100,100 CE,traditional_chronology,100,1399,Traditional date preserved only as rejected historical chronology,Tripura and adjoining Bengal hill-plain zone,Agartala,91.2868,23.8315,city,polity_ind_0263,Durjoy|Ratna Manikya|Manikya kings,Rajmala,《Rajmala》保存特里普拉王族记忆，但其早期王表含大量传说成分；Banglapedia 明确前135位君主缺乏考古或历史来源。,可展示地方王权如何通过古老谱系叙述自身起源。,legendary_dynastic_origin,特里普拉 polity 起年采用约1400；公元100年前后传统王表只保存在神话层，不生成史实年度控制区。,Banglapedia: Rajmala|Banglapedia: Tripura,https://en.banglapedia.org/index.php/Rajmala|https://en.banglapedia.org/index.php/Tripura,encyclopedia,82,依据 Banglapedia 对 Rajmala 早期王表缺证的说明；坐标为阿加尔塔拉城市级定位。,verified,
myth_ind_0008,特里普拉 Rajmala 编纂传统,regional_royal_chronicle,Rajmala Tripura kings,1431年《Rajmala》宫廷编纂,,08,1431 CE,1431,1431 CE,year,1431,1431,Historical compilation year; contents include legendary material,Tripura court tradition,Agartala,91.2868,23.8315,city,polity_ind_0263,Dharma Manikya I|Dhurlabhendra Chantai,Rajmala,《Rajmala》在法王摩尼基亚一世时期由宫廷人员整理和翻译，成为特里普拉王朝叙事的重要文本。,该节点说明传说资料形成书面王朝记忆的时间。,mixed_history_memory,编纂事实可作文本史节点；书中远古王表仍需与史实年表分离。,Banglapedia: Rajmala,https://en.banglapedia.org/index.php/Rajmala,encyclopedia,84,编纂年份来源较明确；文本内容的远古纪年仍分级处理。,verified,
myth_ind_0009,梅瓦尔 Guhila 祖源传统,dynastic_origin_legend,Guhila and Bappa Rawal traditions,530年前后 Guhila 祖源与早期梅瓦尔传说,,09,530 CE,530,530 CE,traditional_chronology,530,727,Traditional origin date not used as kingdom start,Mewar and Chittor region,Chittorgarh,74.6269,24.8887,city,polity_ind_0264,Guhila|Guhadatta|Bappa Rawal,Guhila inscriptions|Ekalinga Mahatmya|bardic chronicles,梅瓦尔早期祖源传统将王族追溯到更早的 Guhila 祖先；但作为政治实体起点需要和后来的 Bappa Rawal/Chittor 传统区分。,反映拉杰普特王族通过祖源和圣地叙事塑造合法性的方式。,legendary_dynastic_origin,Udaipur/Mewar polity 起年保留728；530作为祖源传说层，不用于生成史实政权年度行。,Encyclopaedia Britannica: Rajasthan History|Treccani: Mewar,https://www.britannica.com/place/Rajasthan/History|https://www.treccani.it/enciclopedia/mewar_%28Dizionario-di-Storia%29/,encyclopedia,70,728与734等年份存在来源差异；530应维持传说层而非确定起点。,verified,
myth_ind_0010,梅瓦尔 Bappa Rawal 叙事传统,dynastic_origin_legend,Guhila and Bappa Rawal traditions,Bappa Rawal 与 Chittor 建国记忆,,10,728 or 734 CE,728,728 CE,approx,728,734,Competing traditional dates preserved as labels,Mewar and Chittor region,Chittorgarh,74.6269,24.8887,city,polity_ind_0264,Bappa Rawal|Kalabhoja|Harit Rashi,Ekalinga Mahatmya|regional chronicles,后世传统把 Bappa Rawal 视为梅瓦尔重要奠基者，并叙述其取得 Chittor 的故事；其中神迹、师承和族源部分应与政治史实分开。,保留梅瓦尔政治记忆和地方身份形成的关键叙事。,mixed_history_memory,可作为梅瓦尔起点的近似说明，但其中宗教神迹和 bardic 细节不得转写为史实事件。,Encyclopaedia Britannica: Guhilla|Treccani: Mewar|Encyclopaedia Britannica: Rajasthan History,https://www.britannica.com/topic/Guhilla|https://www.treccani.it/enciclopedia/mewar_%28Dizionario-di-Storia%29/|https://www.britannica.com/place/Rajasthan/History,encyclopedia,72,Treccani 给出734；现有数据采用728并需保留约略和争议说明。,verified,
