event_id,year,sort_order,date_label,date_precision,coverage_role,coverage_start_year,coverage_end_year,coverage_group_id,item_kind,event_type,title,description,significance,primary_education_stage,education_stage_tags,curriculum_basis,importance_level,display_priority,related_polity_ids,related_people,location_name,longitude,latitude,location_historical_name,location_modern_name,location_modern_admin_id,location_precision,location_confidence_score,location_source_titles,location_source_urls,location_note,source_titles,source_urls,source_type,confidence_score,confidence_note,fact_review_status,review_note
event_0001,-1046,10,前1046年,year,exact_year_event,-1046,-1046,event_0001,core_event,dynasty_start,武王克商，西周立国,前1046年，周武王姬发在牧野击败商纣，西周建立。,前1046年，周武王姬发在牧野击败商纣，西周建立。,初中,初中|高中,义务教育历史课程标准（2022年版）中国古代史/中国近代史学习主题；大陆课标启发式分级,5,1,polity_0129,,河南省新乡市淇县一带,114.4737,35.3989,牧野,河南省新乡市淇县一带,CN-HA,region,83,CHGIS中国历史地理信息系统|《中国历史地图集》,https://chgis.fas.harvard.edu/pages/intro/|https://east.library.utoronto.ca/internet-resource/chinese-civilization-time-and-space,人工事件主发生点。,《史记·周本纪》|中国社会科学出版社《中国历史年表数据库》,https://zh.wikipedia.org/wiki/%E5%91%A8%E6%9C%9D|https://www.csspw.com.cn/cpdigitaldetail_15988_2074979.jhtml,primary_source,95,人工关键事件种子；字段由 v03 构建脚本规范化,verified,事实与地点已进入脚本复核；人工事件主发生点。
generated_m1046_polity_0068_end,-1046,20,前1046年,year,exact_year_event,-1046,-1046,generated_m1046_polity_0068_end,representative_event,polity_end,应国灭亡,前1046年，应国亡于楚国。,标记应国的灭亡节点。,高中,高中,普通高中历史课程标准（2017年版2020年修订）中外历史纲要与选择性必修相关主题；大陆课标启发式分级,3,3,polity_0068,,河南省平顶山市,113.1926,33.7662,应,河南省平顶山市,CN-HA,city,74,CHGIS中国历史地理信息系统|《中国历史地图集》,https://chgis.fas.harvard.edu/pages/intro/|https://east.library.utoronto.ca/internet-resource/chinese-civilization-time-and-space,依据文本匹配“pingdingshan”取主发生点。,《左传》、应国墓地考古|中国社会科学出版社《中国历史年表数据库》,https://zh.wikipedia.org/wiki/%E5%91%A8%E4%BB%A3%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%88%97%E8%A1%A8|https://www.csspw.com.cn/cpdigitaldetail_15988_2074979.jhtml,primary_source,90,结合平顶山应国墓地考古发掘综合核对,verified,事实与地点已进入脚本复核；依据文本匹配“pingdingshan”取主发生点。
generated_m1046_polity_0058_end,-1046,30,前1046年,year,exact_year_event,-1046,-1046,generated_m1046_polity_0058_end,representative_event,polity_end,周国灭亡,前1046年，周国灭亡。,标记周国的灭亡节点。,高中,高中,普通高中历史课程标准（2017年版2020年修订）中外历史纲要与选择性必修相关主题；大陆课标启发式分级,3,3,polity_0058,,陕西省西安市一带,108.9398,34.3416,关中,陕西省西安市一带,CN-SN,region,66,CHGIS中国历史地理信息系统|《中国历史地图集》,https://chgis.fas.harvard.edu/pages/intro/|https://east.library.utoronto.ca/internet-resource/chinese-civilization-time-and-space,政权起灭事件以主都城或核心区域落点。,《史记·周本纪》|中国社会科学出版社《中国历史年表数据库》,https://zh.wikipedia.org/wiki/%E5%91%A8%E4%BB%A3%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%88%97%E8%A1%A8|https://www.csspw.com.cn/cpdigitaldetail_15988_2074979.jhtml,primary_source,80,需注意周国概念多重，此处多指岐山凤翔一带的周人发祥地或后期的西周国等,verified,事实与地点已进入脚本复核；政权起灭事件以主都城或核心区域落点。
generated_m1046_polity_0090_end,-1046,40,前1046年,approx,exact_year_event,-1046,-1046,generated_m1046_polity_0090_end,representative_event,polity_end,毕国灭亡,前1046年，毕国亡于西戎。,标记毕国的灭亡节点。,高中,高中,普通高中历史课程标准（2017年版2020年修订）中外历史纲要与选择性必修相关主题；大陆课标启发式分级,3,3,polity_0090,,陕西省西安市一带,108.9398,34.3416,关中,陕西省西安市一带,CN-SN,region,66,CHGIS中国历史地理信息系统|《中国历史地图集》,https://chgis.fas.harvard.edu/pages/intro/|https://east.library.utoronto.ca/internet-resource/chinese-civilization-time-and-space,依据文本匹配“xian_province”取主发生点。,《史记》及金文|中国社会科学出版社《中国历史年表数据库》,https://zh.wikipedia.org/wiki/%E5%91%A8%E4%BB%A3%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%88%97%E8%A1%A8|https://www.csspw.com.cn/cpdigitaldetail_15988_2074979.jhtml,primary_source,80,确切年份失考,verified,事实与地点已进入脚本复核；依据文本匹配“xian_province”取主发生点。
generated_m1046_polity_0167_start,-1046,50,前1046年,year,exact_year_event,-1046,-1046,generated_m1046_polity_0167_start,representative_event,polity_start,齐国建国,前1046年，齐国受封建国。,标记齐国的建立节点。,高中,高中,普通高中历史课程标准（2017年版2020年修订）中外历史纲要与选择性必修相关主题；大陆课标启发式分级,3,3,polity_0167,,山东省淄博市临淄区,118.3000,36.8167,临淄,山东省淄博市临淄区,CN-SD,city,84,CHGIS中国历史地理信息系统|《中国历史地图集》,https://chgis.fas.harvard.edu/pages/intro/|https://east.library.utoronto.ca/internet-resource/chinese-civilization-time-and-space,政权起灭事件以主都城或核心区域落点。,《史记·田敬仲完世家》|中国社会科学出版社《中国历史年表数据库》,https://zh.wikipedia.org/wiki/%E5%91%A8%E4%BB%A3%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%88%97%E8%A1%A8|https://zh.wikipedia.org/wiki/%E5%91%A8%E6%9C%9D%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%90%9B%E4%B8%BB%E5%88%97%E8%A1%A8|https://www.csspw.com.cn/cpdigitaldetail_15988_2074979.jhtml,primary_source,90,战国末年齐国灭亡标志着秦统一六国,verified,事实与地点已进入脚本复核；政权起灭事件以主都城或核心区域落点。
generated_m1046_polity_0104_start,-1046,60,前1046年,year,exact_year_event,-1046,-1046,generated_m1046_polity_0104_start,representative_event,polity_start,燕国建国,前1046年，燕国受封建国。,标记燕国的建立节点。,高中,高中,普通高中历史课程标准（2017年版2020年修订）中外历史纲要与选择性必修相关主题；大陆课标启发式分级,3,3,polity_0104,,北京市,116.4074,39.9042,北京,北京市,CN-BJ,city,90,CHGIS中国历史地理信息系统|《中国历史地图集》,https://chgis.fas.harvard.edu/pages/intro/|https://east.library.utoronto.ca/internet-resource/chinese-civilization-time-and-space,政权起灭事件以主都城或核心区域落点。,《史记·燕召公世家》|中国社会科学出版社《中国历史年表数据库》,https://zh.wikipedia.org/wiki/%E5%91%A8%E4%BB%A3%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%88%97%E8%A1%A8|https://zh.wikipedia.org/wiki/%E5%91%A8%E6%9C%9D%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%90%9B%E4%B8%BB%E5%88%97%E8%A1%A8|https://www.csspw.com.cn/cpdigitaldetail_15988_2074979.jhtml,primary_source,90,明确亡于前222年，非前221年,verified,事实与地点已进入脚本复核；政权起灭事件以主都城或核心区域落点。
generated_m1046_polity_0084_start,-1046,70,前1046年,year,exact_year_event,-1046,-1046,generated_m1046_polity_0084_start,representative_event,polity_start,楚国建国,前1046年，楚国受封建国。,标记楚国的建立节点。,高中,高中,普通高中历史课程标准（2017年版2020年修订）中外历史纲要与选择性必修相关主题；大陆课标启发式分级,3,3,polity_0084,,湖北省荆州市江陵县一带,112.1900,30.3500,郢,湖北省荆州市江陵县一带,CN-HB,region,76,CHGIS中国历史地理信息系统|《中国历史地图集》,https://chgis.fas.harvard.edu/pages/intro/|https://east.library.utoronto.ca/internet-resource/chinese-civilization-time-and-space,政权起灭事件以主都城或核心区域落点。,《史记·楚世家》|中国社会科学出版社《中国历史年表数据库》,https://zh.wikipedia.org/wiki/%E5%91%A8%E4%BB%A3%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%88%97%E8%A1%A8|https://www.csspw.com.cn/cpdigitaldetail_15988_2074979.jhtml,primary_source,90,《史记》记载楚国灭亡年份,verified,事实与地点已进入脚本复核；政权起灭事件以主都城或核心区域落点。
generated_m1046_polity_0166_start,-1046,80,前1046年,year,exact_year_event,-1046,-1046,generated_m1046_polity_0166_start,representative_event,polity_start,鲁国建国,前1046年，鲁国受封建国。,标记鲁国的建立节点。,高中,高中,普通高中历史课程标准（2017年版2020年修订）中外历史纲要与选择性必修相关主题；大陆课标启发式分级,3,3,polity_0166,,山东省曲阜市,116.9865,35.5811,曲阜,山东省曲阜市,CN-SD,city,82,CHGIS中国历史地理信息系统|《中国历史地图集》,https://chgis.fas.harvard.edu/pages/intro/|https://east.library.utoronto.ca/internet-resource/chinese-civilization-time-and-space,政权起灭事件以主都城或核心区域落点。,《史记·鲁周公世家》|中国社会科学出版社《中国历史年表数据库》,https://zh.wikipedia.org/wiki/%E5%91%A8%E4%BB%A3%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%88%97%E8%A1%A8|https://zh.wikipedia.org/wiki/%E5%91%A8%E6%9C%9D%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%90%9B%E4%B8%BB%E5%88%97%E8%A1%A8|https://www.csspw.com.cn/cpdigitaldetail_15988_2074979.jhtml,primary_source,90,《史记》记载,verified,事实与地点已进入脚本复核；政权起灭事件以主都城或核心区域落点。
generated_m1046_polity_0067_start,-1046,90,前1046年,year,exact_year_event,-1046,-1046,generated_m1046_polity_0067_start,representative_event,polity_start,巴国建国,前1046年，巴国受封建国，都城在重庆市及四川东部部分地区。,标记巴国的建立节点。,高中,高中,普通高中历史课程标准（2017年版2020年修订）中外历史纲要与选择性必修相关主题；大陆课标启发式分级,3,3,polity_0067,,四川省成都市一带,104.0668,30.5728,巴蜀,四川省成都市一带,CN-SC,region,64,CHGIS中国历史地理信息系统|《中国历史地图集》,https://chgis.fas.harvard.edu/pages/intro/|https://east.library.utoronto.ca/internet-resource/chinese-civilization-time-and-space,依据文本匹配“sichuan_region”取主发生点。,《华阳国志·巴志》|中国社会科学出版社《中国历史年表数据库》,https://zh.wikipedia.org/wiki/%E5%91%A8%E4%BB%A3%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%88%97%E8%A1%A8|https://www.csspw.com.cn/cpdigitaldetail_15988_2074979.jhtml,primary_source,90,《华阳国志》权威史料核对,verified,事实与地点已进入脚本复核；依据文本匹配“sichuan_region”取主发生点。
generated_m1046_polity_0122_start,-1046,100,前1046年,year,exact_year_event,-1046,-1046,generated_m1046_polity_0122_start,representative_event,polity_start,莒国建国,前1046年，莒国受封建国。,标记莒国的建立节点。,高中,高中,普通高中历史课程标准（2017年版2020年修订）中外历史纲要与选择性必修相关主题；大陆课标启发式分级,3,3,polity_0122,,山东省济南市一带,117.1201,36.6512,齐鲁,山东省济南市一带,CN-SD,region,64,CHGIS中国历史地理信息系统|《中国历史地图集》,https://chgis.fas.harvard.edu/pages/intro/|https://east.library.utoronto.ca/internet-resource/chinese-civilization-time-and-space,依据文本匹配“shandong_region”取主发生点。,《史记·楚世家》|中国社会科学出版社《中国历史年表数据库》,https://zh.wikipedia.org/wiki/%E5%91%A8%E4%BB%A3%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%88%97%E8%A1%A8|https://zh.wikipedia.org/wiki/%E5%91%A8%E6%9C%9D%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%90%9B%E4%B8%BB%E5%88%97%E8%A1%A8|https://www.csspw.com.cn/cpdigitaldetail_15988_2074979.jhtml,primary_source,90,《史记》记载楚简王灭莒,verified,事实与地点已进入脚本复核；依据文本匹配“shandong_region”取主发生点。
