capital_event_id,polity_id,capital_name_historical,capital_name_modern,valid_from_year,valid_to_year,longitude,latitude,is_primary,event_type,location_precision,source_titles,source_urls,source_raw,confidence_score,confidence_note
capital_ind_0001,polity_ind_0007,Ujjain,Ujjain,-600,-300,75.7849,23.1765,true,initial_capital,city,Digital South Asia Library: A Historical Atlas of South Asia|Imperial Gazetteer of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://dsal.uchicago.edu/reference/gazetteer/index.html,Capital field normalized from vIndian polity source row.,76,City-level approximation for historical capital marker.
capital_ind_0002,polity_ind_0009,Taxila,Taxila,-600,-300,72.8397,33.7463,true,initial_capital,city,Digital South Asia Library: A Historical Atlas of South Asia|Imperial Gazetteer of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://dsal.uchicago.edu/reference/gazetteer/index.html,Capital field normalized from vIndian polity source row.,76,City-level approximation for historical capital marker.
capital_ind_0003,polity_ind_0014,Rajgir,Rajgir,-600,-345,85.421,25.0277,true,initial_capital,city,Digital South Asia Library: A Historical Atlas of South Asia|Imperial Gazetteer of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://dsal.uchicago.edu/reference/gazetteer/index.html,Capital field normalized from vIndian polity source row.,76,City-level approximation for historical capital marker.
capital_ind_0004,polity_ind_0018,Mathura,Mathura,-600,-300,77.6737,27.4924,true,initial_capital,city,Digital South Asia Library: A Historical Atlas of South Asia|Imperial Gazetteer of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://dsal.uchicago.edu/reference/gazetteer/index.html,Capital field normalized from vIndian polity source row.,76,City-level approximation for historical capital marker.
capital_ind_0005,polity_ind_0019,Vaishali,Vaishali,-600,-468,85.13,25.98,true,initial_capital,city,Digital South Asia Library: A Historical Atlas of South Asia|Imperial Gazetteer of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://dsal.uchicago.edu/reference/gazetteer/index.html,Capital field normalized from vIndian polity source row.,76,City-level approximation for historical capital marker.
capital_ind_0006,polity_ind_0021,Rajgir,Rajgir,-544,-413,85.421,25.0277,true,initial_capital,city,Digital South Asia Library: A Historical Atlas of South Asia|Imperial Gazetteer of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://dsal.uchicago.edu/reference/gazetteer/index.html,Capital field normalized from vIndian polity source row.,76,City-level approximation for historical capital marker.
capital_ind_0007,polity_ind_0022,Pataliputra,Pataliputra,-413,-345,85.1376,25.5941,true,initial_capital,city,Digital South Asia Library: A Historical Atlas of South Asia|Imperial Gazetteer of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://dsal.uchicago.edu/reference/gazetteer/index.html,Capital field normalized from vIndian polity source row.,76,City-level approximation for historical capital marker.
capital_ind_0008,polity_ind_0023,Pataliputra,Pataliputra,-345,-321,85.1376,25.5941,true,initial_capital,city,Digital South Asia Library: A Historical Atlas of South Asia|Imperial Gazetteer of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://dsal.uchicago.edu/reference/gazetteer/index.html,Capital field normalized from vIndian polity source row.,76,City-level approximation for historical capital marker.
capital_ind_0009,polity_ind_0024,Pataliputra,Pataliputra,-321,-185,85.1376,25.5941,true,initial_capital,city,Digital South Asia Library: A Historical Atlas of South Asia|Imperial Gazetteer of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://dsal.uchicago.edu/reference/gazetteer/index.html,Capital field normalized from vIndian polity source row.,76,City-level approximation for historical capital marker.
capital_ind_0010,polity_ind_0025,Pataliputra,Pataliputra,-185,-73,85.1376,25.5941,true,initial_capital,city,Digital South Asia Library: A Historical Atlas of South Asia|Imperial Gazetteer of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://dsal.uchicago.edu/reference/gazetteer/index.html,Capital field normalized from vIndian polity source row.,76,City-level approximation for historical capital marker.
capital_ind_0011,polity_ind_0026,Pataliputra,Pataliputra,-73,-28,85.1376,25.5941,true,initial_capital,city,Digital South Asia Library: A Historical Atlas of South Asia|Imperial Gazetteer of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://dsal.uchicago.edu/reference/gazetteer/index.html,Capital field normalized from vIndian polity source row.,76,City-level approximation for historical capital marker.
capital_ind_0012,polity_ind_0028,Taxila,Taxila,-180,10,72.8397,33.7463,true,initial_capital,city,Digital South Asia Library: A Historical Atlas of South Asia|Imperial Gazetteer of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://dsal.uchicago.edu/reference/gazetteer/index.html,Capital field normalized from vIndian polity source row.,76,City-level approximation for historical capital marker.
capital_ind_0013,polity_ind_0030,Taxila,Taxila,19,226,72.8397,33.7463,true,initial_capital,city,Digital South Asia Library: A Historical Atlas of South Asia|Imperial Gazetteer of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://dsal.uchicago.edu/reference/gazetteer/index.html,Capital field normalized from vIndian polity source row.,76,City-level approximation for historical capital marker.
capital_ind_0014,polity_ind_0032,Ujjain,Ujjain,35,405,75.7849,23.1765,true,initial_capital,city,Digital South Asia Library: A Historical Atlas of South Asia|Imperial Gazetteer of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://dsal.uchicago.edu/reference/gazetteer/index.html,Capital field normalized from vIndian polity source row.,76,City-level approximation for historical capital marker.
capital_ind_0015,polity_ind_0033,Pataliputra,Pataliputra,320,550,85.1376,25.5941,true,initial_capital,city,Digital South Asia Library: A Historical Atlas of South Asia|Imperial Gazetteer of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://dsal.uchicago.edu/reference/gazetteer/index.html,Capital field normalized from vIndian polity source row.,76,City-level approximation for historical capital marker.
capital_ind_0016,polity_ind_0035,Kannauj,Kannauj,606,647,79.918,27.0514,true,initial_capital,city,Digital South Asia Library: A Historical Atlas of South Asia|Imperial Gazetteer of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://dsal.uchicago.edu/reference/gazetteer/index.html,Capital field normalized from vIndian polity source row.,76,City-level approximation for historical capital marker.
capital_ind_0017,polity_ind_0036,Kanchipuram,Kanchipuram,275,897,79.7036,12.8342,true,initial_capital,city,Digital South Asia Library: A Historical Atlas of South Asia|Imperial Gazetteer of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://dsal.uchicago.edu/reference/gazetteer/index.html,Capital field normalized from vIndian polity source row.,76,City-level approximation for historical capital marker.
capital_ind_0018,polity_ind_0037,Badami,Badami,543,753,75.6768,15.9149,true,initial_capital,city,Digital South Asia Library: A Historical Atlas of South Asia|Imperial Gazetteer of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://dsal.uchicago.edu/reference/gazetteer/index.html,Capital field normalized from vIndian polity source row.,76,City-level approximation for historical capital marker.
capital_ind_0019,polity_ind_0039,Manyakheta,Manyakheta,753,982,77.1637,17.1745,true,initial_capital,city,Digital South Asia Library: A Historical Atlas of South Asia|Imperial Gazetteer of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://dsal.uchicago.edu/reference/gazetteer/index.html,Capital field normalized from vIndian polity source row.,76,City-level approximation for historical capital marker.
capital_ind_0020,polity_ind_0041,Kannauj,Kannauj,730,1036,79.918,27.0514,true,initial_capital,city,Digital South Asia Library: A Historical Atlas of South Asia|Imperial Gazetteer of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://dsal.uchicago.edu/reference/gazetteer/index.html,Capital field normalized from vIndian polity source row.,76,City-level approximation for historical capital marker.
capital_ind_0021,polity_ind_0043,Thanjavur,Thanjavur,850,1279,79.1378,10.7867,true,initial_capital,city,Digital South Asia Library: A Historical Atlas of South Asia|Imperial Gazetteer of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://dsal.uchicago.edu/reference/gazetteer/index.html,Capital field normalized from vIndian polity source row.,76,City-level approximation for historical capital marker.
capital_ind_0022,polity_ind_0047,Delhi,Delhi,1206,1526,77.209,28.6139,true,initial_capital,city,Digital South Asia Library: A Historical Atlas of South Asia|Imperial Gazetteer of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://dsal.uchicago.edu/reference/gazetteer/index.html,Capital field normalized from vIndian polity source row.,76,City-level approximation for historical capital marker.
capital_ind_0023,polity_ind_0048,Hampi,Hampi,1336,1646,76.46,15.335,true,initial_capital,city,Digital South Asia Library: A Historical Atlas of South Asia|Imperial Gazetteer of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://dsal.uchicago.edu/reference/gazetteer/index.html,Capital field normalized from vIndian polity source row.,76,City-level approximation for historical capital marker.
capital_ind_0024,polity_ind_0049,Gulbarga,Gulbarga,1347,1527,76.8333,17.3333,true,initial_capital,city,Digital South Asia Library: A Historical Atlas of South Asia|Imperial Gazetteer of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://dsal.uchicago.edu/reference/gazetteer/index.html,Capital field normalized from vIndian polity source row.,76,City-level approximation for historical capital marker.
capital_ind_0025,polity_ind_0055,Bijapur,Bijapur,1490,1686,75.71,16.8302,true,initial_capital,city,Digital South Asia Library: A Historical Atlas of South Asia|Imperial Gazetteer of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://dsal.uchicago.edu/reference/gazetteer/index.html,Capital field normalized from vIndian polity source row.,76,City-level approximation for historical capital marker.
capital_ind_0026,polity_ind_0056,Golconda,Golconda,1518,1687,78.4011,17.3833,true,initial_capital,city,Digital South Asia Library: A Historical Atlas of South Asia|Imperial Gazetteer of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://dsal.uchicago.edu/reference/gazetteer/index.html,Capital field normalized from vIndian polity source row.,76,City-level approximation for historical capital marker.
capital_ind_0027,polity_ind_0057,Agra,Agra,1526,1857,78.0081,27.1767,true,initial_capital,city,Digital South Asia Library: A Historical Atlas of South Asia|Imperial Gazetteer of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://dsal.uchicago.edu/reference/gazetteer/index.html,Capital field normalized from vIndian polity source row.,76,City-level approximation for historical capital marker.
capital_ind_0028,polity_ind_0058,Delhi,Delhi,1540,1556,77.209,28.6139,true,initial_capital,city,Digital South Asia Library: A Historical Atlas of South Asia|Imperial Gazetteer of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://dsal.uchicago.edu/reference/gazetteer/index.html,Capital field normalized from vIndian polity source row.,76,City-level approximation for historical capital marker.
capital_ind_0029,polity_ind_0059,Pune,Pune,1674,1818,73.8567,18.5204,true,initial_capital,city,Digital South Asia Library: A Historical Atlas of South Asia|Imperial Gazetteer of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://dsal.uchicago.edu/reference/gazetteer/index.html,Capital field normalized from vIndian polity source row.,76,City-level approximation for historical capital marker.
capital_ind_0030,polity_ind_0060,Lahore,Lahore,1799,1849,74.3587,31.5204,true,initial_capital,city,Digital South Asia Library: A Historical Atlas of South Asia|Imperial Gazetteer of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://dsal.uchicago.edu/reference/gazetteer/index.html,Capital field normalized from vIndian polity source row.,76,City-level approximation for historical capital marker.
capital_ind_0031,polity_ind_0061,Mysore,Mysore,1399,1947,76.6394,12.2958,true,initial_capital,city,Digital South Asia Library: A Historical Atlas of South Asia|Imperial Gazetteer of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://dsal.uchicago.edu/reference/gazetteer/index.html,Capital field normalized from vIndian polity source row.,76,City-level approximation for historical capital marker.
capital_ind_0032,polity_ind_0062,Kolkata,Kolkata,1757,1858,88.3639,22.5726,true,initial_capital,city,Digital South Asia Library: A Historical Atlas of South Asia|Imperial Gazetteer of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://dsal.uchicago.edu/reference/gazetteer/index.html,Capital field normalized from vIndian polity source row.,76,City-level approximation for historical capital marker.
capital_ind_0033,polity_ind_0063,Kolkata,Kolkata,1858,1947,88.3639,22.5726,true,initial_capital,city,Digital South Asia Library: A Historical Atlas of South Asia|Imperial Gazetteer of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://dsal.uchicago.edu/reference/gazetteer/index.html,Capital field normalized from vIndian polity source row.,76,City-level approximation for historical capital marker.
capital_ind_0034,polity_ind_0064,Goa,Goa,1510,1961,74.124,15.2993,true,initial_capital,city,Digital South Asia Library: A Historical Atlas of South Asia|Imperial Gazetteer of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://dsal.uchicago.edu/reference/gazetteer/index.html,Capital field normalized from vIndian polity source row.,76,City-level approximation for historical capital marker.
capital_ind_0035,polity_ind_0065,Puducherry,Puducherry,1674,1954,79.8083,11.9416,true,initial_capital,city,Digital South Asia Library: A Historical Atlas of South Asia|Imperial Gazetteer of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://dsal.uchicago.edu/reference/gazetteer/index.html,Capital field normalized from vIndian polity source row.,76,City-level approximation for historical capital marker.
capital_ind_0036,polity_ind_0066,Srinagar,Srinagar,1846,1947,74.7973,34.0837,true,initial_capital,city,Digital South Asia Library: A Historical Atlas of South Asia|Imperial Gazetteer of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://dsal.uchicago.edu/reference/gazetteer/index.html,Capital field normalized from vIndian polity source row.,76,City-level approximation for historical capital marker.
capital_ind_0037,polity_ind_0067,Gangtok,Gangtok,1642,1975,88.6138,27.3314,true,initial_capital,city,Digital South Asia Library: A Historical Atlas of South Asia|Imperial Gazetteer of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://dsal.uchicago.edu/reference/gazetteer/index.html,Capital field normalized from vIndian polity source row.,76,City-level approximation for historical capital marker.
capital_ind_0038,polity_ind_0068,New Delhi,New Delhi,1947,1950,77.209,28.6139,true,initial_capital,city,Digital South Asia Library: A Historical Atlas of South Asia|Imperial Gazetteer of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://dsal.uchicago.edu/reference/gazetteer/index.html,Capital field normalized from vIndian polity source row.,76,City-level approximation for historical capital marker.
capital_ind_0039,polity_ind_0069,New Delhi,New Delhi,1950,1990,77.209,28.6139,true,initial_capital,city,Digital South Asia Library: A Historical Atlas of South Asia|Imperial Gazetteer of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://dsal.uchicago.edu/reference/gazetteer/index.html,Capital field normalized from vIndian polity source row.,76,City-level approximation for historical capital marker.
capital_ind_0040,polity_ind_0071,Dhaka,Dhaka,1971,1990,90.4125,23.8103,true,initial_capital,city,Digital South Asia Library: A Historical Atlas of South Asia|Imperial Gazetteer of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://dsal.uchicago.edu/reference/gazetteer/index.html,Capital field normalized from vIndian polity source row.,76,City-level approximation for historical capital marker.
capital_ind_0041,polity_ind_0094,Baroda,Baroda,1731,1947,73.1812,22.3072,true,initial_capital,city,Digital South Asia Library: A Historical Atlas of South Asia|Imperial Gazetteer of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://dsal.uchicago.edu/reference/gazetteer/index.html,Capital field normalized from vIndian polity source row.,76,City-level approximation for historical capital marker.
capital_ind_0042,polity_ind_0104,Bhopal,Bhopal,1723,1947,77.4126,23.2599,true,initial_capital,city,Digital South Asia Library: A Historical Atlas of South Asia|Imperial Gazetteer of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://dsal.uchicago.edu/reference/gazetteer/index.html,Capital field normalized from vIndian polity source row.,76,City-level approximation for historical capital marker.
capital_ind_0043,polity_ind_0133,Gwalior,Gwalior,900,1947,78.1828,26.2183,true,initial_capital,city,Digital South Asia Library: A Historical Atlas of South Asia|Imperial Gazetteer of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://dsal.uchicago.edu/reference/gazetteer/index.html,Capital field normalized from vIndian polity source row.,76,City-level approximation for historical capital marker.
capital_ind_0044,polity_ind_0134,Hyderabad,Hyderabad,1671,1948,78.4867,17.385,true,initial_capital,city,Digital South Asia Library: A Historical Atlas of South Asia|Imperial Gazetteer of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://dsal.uchicago.edu/reference/gazetteer/index.html,Capital field normalized from vIndian polity source row.,76,City-level approximation for historical capital marker.
capital_ind_0045,polity_ind_0139,Jaipur,Jaipur,1093,1947,75.7873,26.9124,true,initial_capital,city,Digital South Asia Library: A Historical Atlas of South Asia|Imperial Gazetteer of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://dsal.uchicago.edu/reference/gazetteer/index.html,Capital field normalized from vIndian polity source row.,76,City-level approximation for historical capital marker.
capital_ind_0046,polity_ind_0152,Jodhpur,Jodhpur,1250,1947,73.0243,26.2389,true,initial_capital,city,Digital South Asia Library: A Historical Atlas of South Asia|Imperial Gazetteer of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://dsal.uchicago.edu/reference/gazetteer/index.html,Capital field normalized from vIndian polity source row.,76,City-level approximation for historical capital marker.
capital_ind_0047,polity_ind_0154,Junagadh,Junagadh,1748,1948,70.4579,21.5222,true,initial_capital,city,Digital South Asia Library: A Historical Atlas of South Asia|Imperial Gazetteer of India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://dsal.uchicago.edu/reference/gazetteer/index.html,Capital field normalized from vIndian polity source row.,76,City-level approximation for historical capital marker.
