event_id,year,title,event_type,reason,source_titles,review_note
generated_m643_polity_0100_start,-643,滥国建国,polity_start,missing_reliable_location,《左传·昭公二十一年》|中国社会科学出版社《中国历史年表数据库》,尚未找到可追溯主发生点，暂不进入播放事件流。
generated_p385_polity_0136_start,385,西秦建立,dynasty_start,missing_reliable_location,《晋书·乞伏国仁等载记》|中国社会科学出版社《中国历史年表数据库》,尚未找到可追溯主发生点，暂不进入播放事件流。
generated_p397_polity_0032_start,397,南凉建立,dynasty_start,missing_reliable_location,《晋书·秃发乌孤等载记》|中国社会科学出版社《中国历史年表数据库》,尚未找到可追溯主发生点，暂不进入播放事件流。
generated_p414_polity_0032_end,414,南凉灭亡,dynasty_end,missing_reliable_location,《晋书·秃发乌孤等载记》|中国社会科学出版社《中国历史年表数据库》,尚未找到可追溯主发生点，暂不进入播放事件流。
generated_p431_polity_0136_end,431,西秦灭亡,dynasty_end,missing_reliable_location,《晋书·乞伏国仁等载记》|中国社会科学出版社《中国历史年表数据库》,尚未找到可追溯主发生点，暂不进入播放事件流。
generated_p478_polity_0062_start,478,宕昌建国,polity_start,missing_reliable_location,《周书》|中国社会科学出版社《中国历史年表数据库》,尚未找到可追溯主发生点，暂不进入播放事件流。
generated_p564_polity_0062_end,564,宕昌灭亡,polity_end,missing_reliable_location,《周书》|中国社会科学出版社《中国历史年表数据库》,尚未找到可追溯主发生点，暂不进入播放事件流。
generated_p905_polity_0160_start,905,静海军建国,polity_start,missing_reliable_location,《大越史记全书》|中国社会科学出版社《中国历史年表数据库》,尚未找到可追溯主发生点，暂不进入播放事件流。
generated_p909_polity_0155_start,909,闽建立,dynasty_start,missing_reliable_location,《新五代史·闽世家》|中国社会科学出版社《中国历史年表数据库》,尚未找到可追溯主发生点，暂不进入播放事件流。
generated_p938_polity_0160_end,938,静海军灭亡,polity_end,missing_reliable_location,《大越史记全书》|中国社会科学出版社《中国历史年表数据库》,尚未找到可追溯主发生点，暂不进入播放事件流。
generated_p945_polity_0155_end,945,闽灭亡,dynasty_end,missing_reliable_location,《新五代史·闽世家》|中国社会科学出版社《中国历史年表数据库》,尚未找到可追溯主发生点，暂不进入播放事件流。
generated_p949_polity_0097_start,949,清源军（平海军）建国,polity_start,missing_reliable_location,《宋史·世家》|中国社会科学出版社《中国历史年表数据库》,尚未找到可追溯主发生点，暂不进入播放事件流。
generated_p951_polity_0086_start,951,武平军建国,polity_start,missing_reliable_location,《宋史》/《新五代史》|中国社会科学出版社《中国历史年表数据库》,尚未找到可追溯主发生点，暂不进入播放事件流。
generated_p963_polity_0086_end,963,武平军灭亡,polity_end,missing_reliable_location,《宋史》/《新五代史》|中国社会科学出版社《中国历史年表数据库》,尚未找到可追溯主发生点，暂不进入播放事件流。
generated_p978_polity_0097_end,978,清源军（平海军）灭亡,polity_end,missing_reliable_location,《宋史·世家》|中国社会科学出版社《中国历史年表数据库》,尚未找到可追溯主发生点，暂不进入播放事件流。
generated_p1644_polity_0035_start,1644,南明建立,dynasty_start,missing_reliable_location,《明史》附录/南明史|中国社会科学出版社《中国历史年表数据库》,尚未找到可追溯主发生点，暂不进入播放事件流。
generated_p1662_polity_0035_end,1662,南明灭亡,dynasty_end,missing_reliable_location,《明史》附录/南明史|中国社会科学出版社《中国历史年表数据库》,尚未找到可追溯主发生点，暂不进入播放事件流。
