polity_id,polity_name,has_territory_zone_records,marker_terms,recommended_action,source_text,note
polity_0003,东周,false,名義,needs_zone_split_or_review,名義上統治全國，實際上只控制首都雒邑（今河南省洛陽市）周圍的狹小地區,含影响/都护/羁縻/名义等口径，应使用 territory_zones_v03.csv 标记 direct/influence。
polity_0006,东汉,false,影响区 | 都护 | 长史府 | 阶段性,needs_zone_split_or_review,基本承袭汉地、交州和东北郡县；西域都护/长史府控制多次中断，主要限塔里木盆地绿洲。；中国中东部及西北部; 越南北部及中北部; 朝鲜半岛北部; 中国新疆及中亚东缘绿洲（阶段性影响区）,含影响/都护/羁縻/名义等口径，应使用 territory_zones_v03.csv 标记 direct/influence。
polity_0013,元朝,false,影响区,needs_zone_split_or_review,统一中国本部、蒙古高原、西藏、云南及东北；东北通过辽阳行省延至外满洲/库页岛，高丽为半自治藩属而非本土郡县，北冰洋边界不作领土口径。；中国全境（含西藏、云南等）; 蒙古国全境; 俄罗斯外满洲、库页岛及西伯利亚南部部分地区; 朝鲜半岛东北部若干元设置机构（高丽整体为半自治藩属）; 缅甸北部为征缅/云南边疆影响区,含影响/都护/羁縻/名义等口径，应使用 territory_zones_v03.csv 标记 direct/influence。
polity_0035,南明,false,势力,needs_zone_split_or_review,明朝残余势力退守南方。；中国南部及西南部,含影响/都护/羁縻/名义等口径，应使用 territory_zones_v03.csv 标记 direct/influence。
polity_0059,唐朝,false,影响区 | 羁縻 | 都护 | 阶段性,needs_zone_split_or_review,包含安西、北庭、安北/单于、安东、安南等都护府；多为军镇、羁縻或阶段性控制，不能等同现代国家全境。；中国大部; 蒙古高原（阶段性羁縻/都护府影响）; 越南北部（安南）; 中国新疆及中亚绿洲（安西/北庭，含费尔干纳、塔什干、帕米尔周边影响区）; 辽东及朝鲜半岛北部（安东，668-676后迅速收缩）,含影响/都护/羁縻/名义等口径，应使用 territory_zones_v03.csv 标记 direct/influence。
polity_0071,新朝,false,名义,needs_zone_split_or_review,短期继承西汉郡县框架；西域控制在王莽后期迅速瓦解。；中国中东部及西北部; 越南北部及中北部; 朝鲜半岛北部; 中国新疆部分地区（短期或名义控制）,含影响/都护/羁縻/名义等口径，应使用 territory_zones_v03.csv 标记 direct/influence。
polity_0072,明朝,false,影响区 | 羁縻 | 名义 | 阶段性,needs_zone_split_or_review,汉地、辽东及奴儿干都司；奴儿干对黑龙江下游和库页岛多为羁縻/朝贡卫所，西南土司与交趾布政司为阶段性控制。；中国大部; 辽东; 俄罗斯外满洲黑龙江下游及库页岛（奴儿干都司名义羁縻）; 越南北部（交趾布政司1407-1427）; 缅甸北部、老挝北部为西南土司/朝贡影响区,含影响/都护/羁縻/名义等口径，应使用 territory_zones_v03.csv 标记 direct/influence。
polity_0085,武周,false,羁縻 | 都护 | 阶段性,needs_zone_split_or_review,武周时期承接唐高宗后都护府体系，但安东、安北、安西/北庭等多属阶段性军政控制或羁縻。；中国大部; 越南北部（安南）; 中国新疆及中亚绿洲（692年后恢复安西四镇）; 辽东及朝鲜半岛北部边缘（安东已收缩）; 漠南及蒙古高原部分羁縻区,含影响/都护/羁縻/名义等口径，应使用 territory_zones_v03.csv 标记 direct/influence。
polity_0096,清朝,false,影响区 | 争议,needs_zone_split_or_review,极盛包含汉地、东北、内外蒙古、新疆、西藏、台湾、唐努乌梁海、外满洲及库页岛；外西北至巴尔喀什湖以东/以南，帕米尔为边界争议区。；中国全境; 蒙古国全境; 俄罗斯外满洲（含库页岛）; 俄罗斯图瓦共和国; 哈萨克斯坦东部及巴尔喀什湖以东/以南地区; 吉尔吉斯斯坦北部及东部; 塔吉克斯坦东部帕米尔争议/影响区; 缅甸北部边疆影响区,含影响/都护/羁縻/名义等口径，应使用 territory_zones_v03.csv 标记 direct/influence。
polity_0110,秦朝,false,争议,needs_zone_split_or_review,岭南纳入南海、桂林、象郡；象郡是否覆盖红河平原存在学术争议。；中国中东部及岭南（广东、广西等）；越南北部边缘（象郡范围有争议）,含影响/都护/羁縻/名义等口径，应使用 territory_zones_v03.csv 标记 direct/influence。
