source_id,topic,source_title,source_url,source_type,credibility_tier,covers_fields,notes
src_republic_britannica,民国政权演变,Encyclopaedia Britannica: Republican China 1911-49,https://www.britannica.com/place/China/Republican-China-1911-49,reference,T2,"polity_start_year|polity_end_year|event_description|confidence_note","用于民国成立、北京政府、南京国民政府、军阀时期与国共关系的概览核验。"
src_chinese_revolution_oh,国共内战与1949政权转移,Office of the Historian: The Chinese Revolution of 1949,https://history.state.gov/milestones/1945-1952/chinese-rev,official,T1,"event_description|source_urls|confidence_note","美国国务院史家办公室专题，适合核对1945-1949内战与政权转移大势。"
src_civil_war_britannica,国共内战,Encyclopaedia Britannica: Chinese Civil War,https://www.britannica.com/event/Chinese-Civil-War,reference,T2,"event_description|related_polity_ids|confidence_note","用于三大战役、渡江、南京上海广州重庆成都易手等内战事件的二级核验。"
src_second_sino_japanese_britannica,全面抗战,Encyclopaedia Britannica: Second Sino-Japanese War,https://www.britannica.com/event/Second-Sino-Japanese-War,reference,T2,"event_description|importance_level|related_polity_ids","用于1937-1945抗战主要阶段、会战与日占区扩张的概览核验。"
src_manchukuo_britannica,满洲国,Encyclopaedia Britannica: Manchukuo,https://www.britannica.com/place/Manchukuo,reference,T2,"polity_type|polity_start_year|polity_end_year|confidence_note","用于满洲国作为日本扶植傀儡政权的起止与性质核验。"
src_mukden_britannica,九一八与东北沦陷,Encyclopaedia Britannica: Mukden Incident,https://www.britannica.com/event/Mukden-Incident,reference,T2,"event_description|location_key|related_polity_ids","用于九一八事变、东北占领、满洲国形成的事件链核验。"
src_cairo_avalon,台湾澎湖战后接收,Avalon Project: Cairo Communiqué 1943,https://avalon.law.yale.edu/wwii/cairo.asp,primary_text,T1,"event_description|source_urls|confidence_note","用于台湾、澎湖、满洲等战后安排的声明文本核验。"
src_potsdam_avalon,战后受降与日本投降,Avalon Project: Potsdam Declaration 1945,https://avalon.law.yale.edu/20th_century/decade17.asp,primary_text,T1,"event_description|source_urls|confidence_note","用于日本投降条件、战后接收事件的声明文本核验。"
src_taiwan_britannica,台湾政权变化,Encyclopaedia Britannica: Taiwan History,https://www.britannica.com/place/Taiwan/History,reference,T2,"polity_start_year|polity_end_year|modern_admin_units_raw|confidence_note","用于1895日治、1945接收与1949迁台背景核验。"
src_hongkong_britannica,香港殖民与日占,Encyclopaedia Britannica: Hong Kong History,https://www.britannica.com/place/Hong-Kong/History,reference,T2,"polity_start_year|polity_end_year|capital_events|confidence_note","用于英属香港、1941-1945日占香港、1945英方恢复管治的起止核验。"
src_macau_britannica,澳门殖民管治,Encyclopaedia Britannica: Macau History,https://www.britannica.com/place/Macau/History,reference,T2,"polity_start_year|polity_end_year|modern_admin_units_raw|confidence_note","用于葡属澳门长期管治与民国时期实际控制差异核验。"
src_mongolia_britannica,外蒙古独立与承认,Encyclopaedia Britannica: Mongolia Between Russia and China,https://www.britannica.com/place/Mongolia/Between-Russia-and-China,reference,T2,"polity_start_year|polity_end_year|event_description|confidence_note","用于外蒙古1911后事实独立、1924人民共和国与1945公投/承认背景核验。"
src_tibet_britannica,西藏事实自治,Encyclopaedia Britannica: Tibet since 1900,https://www.britannica.com/place/Tibet/Tibet-since-1900,reference,T2,"polity_start_year|polity_end_year|modern_admin_units_raw|confidence_note","用于1912-1951前西藏噶厦事实自治、中央法理主张与实际控制差异说明。"
src_xinjiang_britannica,新疆地方政权与三区,Encyclopaedia Britannica: Xinjiang,https://www.britannica.com/place/Xinjiang,reference,T2,"polity_start_year|polity_end_year|event_description|confidence_note","用于新疆省地方军政、1944三区革命和1949和平解放背景核验。"
src_shanghai_britannica,上海租界,Encyclopaedia Britannica: Shanghai History,https://www.britannica.com/place/Shanghai/History,reference,T2,"polity_type|polity_end_year|territory_override|confidence_note","用于上海公共租界、法租界和1943租界废除/移交的概览核验。"
src_tianjin_britannica,天津租界,Encyclopaedia Britannica: Tianjin History,https://www.britannica.com/place/Tianjin/History,reference,T2,"polity_type|territory_override|confidence_note","用于天津多国租界及民国时期城市主权/管辖分层说明。"
src_qingdao_britannica,青岛胶澳租借地,Encyclopaedia Britannica: Qingdao,https://www.britannica.com/place/Qingdao,reference,T2,"polity_start_year|polity_end_year|event_description|confidence_note","用于德国胶澳、日本占领青岛、1922归还中国的时间链核验。"
src_weihai_britannica,威海卫租借地,Encyclopaedia Britannica: Weihai,https://www.britannica.com/place/Weihai,reference,T2,"polity_start_year|polity_end_year|event_description|confidence_note","用于英租威海卫及1930归还的起止核验。"
src_guangzhouwan_reference,广州湾租借地,Encyclopaedia Britannica: Zhanjiang,https://www.britannica.com/place/Zhanjiang,reference,T2,"polity_start_year|polity_end_year|event_description|confidence_note","用于法租广州湾和1945归还中国的地点与背景核验。"
src_kwantung_britannica,关东州租借地,Encyclopaedia Britannica: Liaodong Peninsula,https://www.britannica.com/place/Liaodong-Peninsula,reference,T2,"polity_type|territory_override|confidence_note","用于旅顺、大连、关东州租借地与满洲国/日军势力范围差异说明。"
src_wang_jingwei_britannica,汪伪政权,Encyclopaedia Britannica: Wang Ching-wei,https://www.britannica.com/biography/Wang-Ching-wei,reference,T2,"polity_type|polity_start_year|polity_end_year|confidence_note","用于汪精卫南京政权性质、成立与结束的二级核验。"
src_long_march_britannica,中共苏区与长征,Encyclopaedia Britannica: Long March,https://www.britannica.com/event/Long-March,reference,T2,"event_description|related_polity_ids|confidence_note","用于中华苏维埃共和国、中央苏区转移和陕北根据地形成的核验。"
src_xian_incident_britannica,西安事变与统一战线,Encyclopaedia Britannica: Xi'an Incident,https://www.britannica.com/event/Xian-Incident,reference,T2,"event_description|importance_level|related_polity_ids","用于西安事变、第二次国共合作背景核验。"
src_japan_surrender_oh,抗战结束与接收,Office of the Historian: Japan Surrenders and World War II Ends,https://history.state.gov/milestones/1937-1945/japan-surrender,official,T1,"event_description|source_urls|confidence_note","用于1945日本投降、受降与接收阶段的官方概览核验。"
src_republic_chronology_academia,民国编年与城市易手,Academia Sinica Institute of Modern History: Republican China materials,https://www.mh.sinica.edu.tw/,academic,T1,"event_description|source_titles|confidence_note","作为国史馆/中研院类学术材料入口，具体事件后续可替换为更细粒度档案页。"
