anecdote_id,dynasty_name,macro_period,year,sort_order,date_label,date_precision,coverage_start_year,coverage_end_year,anecdote_type,title,phrase,short_description,story_text,source_title,source_section,source_url,source_type,source_note,related_polity_ids,related_people,location_historical_name,location_modern_name,longitude,latitude,location_precision,primary_education_stage,education_stage_tags,display_priority,review_status,review_note
anecdote_eur_0001,希腊神话,古风时代,-1200,2,公元前1200年,approx,-1200,-1200,legend,特洛伊木马（Trojan Horse）,木马屠城,希腊联军用巨大木马伪装作贡品送入特洛伊，夜间藏于其中的希腊战士打开城门，特洛伊陷落。,希腊联军用巨大木马伪装作贡品送入特洛伊，夜间藏于其中的希腊战士打开城门，特洛伊陷落。,Encyclopaedia Britannica: Greek civilization,,https://www.britannica.com/topic/ancient-Greek-civilization,encyclopedia,Anecdote/context row; not used as sole chronology source.,polity_eur_0004|polity_eur_0003,Odysseus; Priam; Helen,Troy,Troy,26.2389,39.9575,city,高中,世界史|欧洲史,200,candidate,
anecdote_eur_0002,希腊神话,青铜时代,-1300,3,公元前1300年,approx,-1300,-1300,legend,忒修斯与米诺陶（Theseus and the Minotaur）,阿里阿德涅之线,雅典王子忒修斯进入克里特迷宫斩杀牛头怪米诺陶，靠米诺斯公主阿里阿德涅赠予的线团走出迷宫。,雅典王子忒修斯进入克里特迷宫斩杀牛头怪米诺陶，靠米诺斯公主阿里阿德涅赠予的线团走出迷宫。,Encyclopaedia Britannica: Minoan civilization,,https://www.britannica.com/topic/Minoan-civilization,encyclopedia,Anecdote/context row; not used as sole chronology source.,polity_eur_0001|polity_eur_0014,Theseus; Minos; Ariadne; Minotaur,Knossos,Knossos,25.1631,35.298,city,高中,世界史|欧洲史,200,candidate,
anecdote_eur_0003,希腊神话,青铜时代,-1200,4,公元前1200年,approx,-1200,-1200,legend,赫拉克勒斯十二试炼（The Twelve Labors of Heracles）,大力神十二试炼,赫拉克勒斯为赎杀子之罪，受迈锡尼王欧律斯透斯命令完成十二项不可能的任务，包括尼米亚狮、勒拿水蛇、革律翁牛群等。,赫拉克勒斯为赎杀子之罪，受迈锡尼王欧律斯透斯命令完成十二项不可能的任务，包括尼米亚狮、勒拿水蛇、革律翁牛群等。,Encyclopaedia Britannica: Greek civilization,,https://www.britannica.com/topic/ancient-Greek-civilization,encyclopedia,Anecdote/context row; not used as sole chronology source.,polity_eur_0003,Heracles; Eurystheus,Mycenae,Mycenae,22.7568,37.73,city,高中,世界史|欧洲史,200,candidate,
anecdote_eur_0004,希腊神话,青铜时代,-1300,5,公元前1300年,approx,-1300,-1300,legend,伊阿宋与金羊毛（Jason and the Argonauts）,阿尔戈号远征,伊阿宋率阿尔戈英雄团乘阿尔戈号远征科尔基斯（黑海东岸）夺取金羊毛，获美狄亚相助。,伊阿宋率阿尔戈英雄团乘阿尔戈号远征科尔基斯（黑海东岸）夺取金羊毛，获美狄亚相助。,Encyclopaedia Britannica: Greek civilization,,https://www.britannica.com/topic/ancient-Greek-civilization,encyclopedia,Anecdote/context row; not used as sole chronology source.,polity_eur_0003,Jason; Medea; Argonauts,Pella,Pella,22.5266,40.7572,city,高中,世界史|欧洲史,200,candidate,
anecdote_eur_0005,希腊神话,古风时代,-700,6,公元前700年,approx,-700,-700,legend,俄狄浦斯王（Oedipus Rex）,弑父娶母,底比斯王子俄狄浦斯不知情下杀父娶母，应验德尔斐神谕，揭示后自残双目流亡。索福克勒斯悲剧母题。,底比斯王子俄狄浦斯不知情下杀父娶母，应验德尔斐神谕，揭示后自残双目流亡。索福克勒斯悲剧母题。,Encyclopaedia Britannica: Greek civilization,,https://www.britannica.com/topic/ancient-Greek-civilization,encyclopedia,Anecdote/context row; not used as sole chronology source.,polity_eur_0017,Oedipus; Laius; Jocasta,Thebes,Thebes,23.3158,38.3217,city,高中,世界史|欧洲史,200,candidate,
anecdote_eur_0006,希腊神话,青铜时代,-1200,7,公元前1200年,approx,-1200,-1200,legend,珀尔修斯与美杜莎（Perseus and Medusa）,斩蛇发美杜莎,阿耳戈斯王子珀尔修斯借雅典娜之盾与赫尔墨斯之剑斩下美杜莎之头，救埃塞俄比亚公主安德罗墨达。,阿耳戈斯王子珀尔修斯借雅典娜之盾与赫尔墨斯之剑斩下美杜莎之头，救埃塞俄比亚公主安德罗墨达。,Encyclopaedia Britannica: Greek civilization,,https://www.britannica.com/topic/ancient-Greek-civilization,encyclopedia,Anecdote/context row; not used as sole chronology source.,polity_eur_0003,Perseus; Medusa; Andromeda,Argos,Argos,22.7331,37.6309,city,高中,世界史|欧洲史,200,candidate,
anecdote_eur_0007,希腊神话/历史交汇,古典时代,-431,8,公元前431年,approx,-431,-431,historical_memory,伯里克利的悼词（Funeral Oration of Pericles）,雅典是希腊的学校,伯罗奔尼撒战争首年雅典阵亡将士葬礼上，伯里克利发表演说赞颂雅典民主与公民精神。修昔底德记录。,伯罗奔尼撒战争首年雅典阵亡将士葬礼上，伯里克利发表演说赞颂雅典民主与公民精神。修昔底德记录。,Encyclopaedia Britannica: Greek civilization,,https://www.britannica.com/topic/ancient-Greek-civilization,encyclopedia,Anecdote/context row; not used as sole chronology source.,polity_eur_0026,Pericles,Athens,Athens,23.7275,37.9838,city,高中,世界史|欧洲史,200,candidate,
anecdote_eur_0008,罗马神话,古风时代,-753,9,公元前753年,approx,-753,-753,legend,罗慕路斯与雷穆斯（Romulus and Remus）,双子建罗马,战神玛尔斯与维斯塔贞女之子双胞胎被遗弃台伯河，由母狼哺育，长大后建罗马城；罗慕路斯杀雷穆斯成为首王。,战神玛尔斯与维斯塔贞女之子双胞胎被遗弃台伯河，由母狼哺育，长大后建罗马城；罗慕路斯杀雷穆斯成为首王。,Encyclopaedia Britannica: Ancient Rome,,https://www.britannica.com/place/ancient-Rome,encyclopedia,Anecdote/context row; not used as sole chronology source.,polity_eur_0019,Romulus; Remus,Rome,Rome,12.4964,41.9028,city,高中,世界史|欧洲史,200,candidate,
anecdote_eur_0009,罗马传说,古风时代,-509,10,公元前509年,approx,-509,-509,legend,卢克丽霞之死（Lucretia）,贞女之耻,贵族卢克丽霞遭末王塔克文之子凌辱后自尽，引发布鲁图斯领导贵族驱逐塔克文王朝，建立共和。,贵族卢克丽霞遭末王塔克文之子凌辱后自尽，引发布鲁图斯领导贵族驱逐塔克文王朝，建立共和。,Encyclopaedia Britannica: Ancient Rome,,https://www.britannica.com/place/ancient-Rome,encyclopedia,Anecdote/context row; not used as sole chronology source.,polity_eur_0019|polity_eur_0032,Lucretia; Sextus Tarquinius; Lucius Junius Brutus,Rome,Rome,12.4964,41.9028,city,高中,世界史|欧洲史,200,candidate,
anecdote_eur_0010,罗马传说,古风时代,-507,11,公元前507年,approx,-507,-507,legend,贺拉提乌斯守桥（Horatius Cocles）,独守苏布利契亚桥,罗马英雄贺拉提乌斯·科克勒斯独立守桥抵御伊特鲁里亚军，给身后罗马人毁桥时间，自己跳河逃生。,罗马英雄贺拉提乌斯·科克勒斯独立守桥抵御伊特鲁里亚军，给身后罗马人毁桥时间，自己跳河逃生。,Encyclopaedia Britannica: Ancient Rome,,https://www.britannica.com/place/ancient-Rome,encyclopedia,Anecdote/context row; not used as sole chronology source.,polity_eur_0032,Horatius Cocles; Lars Porsena,Rome,Rome,12.4964,41.9028,city,高中,世界史|欧洲史,200,candidate,
anecdote_eur_0011,罗马传说,古典时代,-458,12,公元前458年,approx,-458,-458,legend,辛辛纳图斯归田（Cincinnatus）,十六天的独裁,独裁官辛辛纳图斯击败埃魁人后十六日卸任，回到自家小农场。共和制公民德行的典范。,独裁官辛辛纳图斯击败埃魁人后十六日卸任，回到自家小农场。共和制公民德行的典范。,Encyclopaedia Britannica: Ancient Rome,,https://www.britannica.com/place/ancient-Rome,encyclopedia,Anecdote/context row; not used as sole chronology source.,polity_eur_0032,Lucius Quinctius Cincinnatus,Rome,Rome,12.4964,41.9028,city,高中,世界史|欧洲史,200,candidate,
