macro_period,dynasty_name,polity_name,polity_start_year,polity_end_year,actual_min_year,actual_max_year,actual_year_count,expected_year_count,missing_year_count,missing_years,source_titles,source_raw
周,周代诸侯国,召國,-1046,-513,-1046,-1046,1,534,533,-1045..-513,《左传·昭公二十九年》,周敬王杀召简公，召国灭亡
周,周代诸侯国,殷國,-1046,-1039,-1046,-1040,7,8,1,-1039,《史记·周本纪》,三监之乱后武庚被杀，殷国灭亡
周,周代诸侯国,管國,-1046,-1039,-1046,-1040,7,8,1,-1039,《史记·管蔡世家》,三监之乱后管叔鲜被杀，管国灭亡
周,周代诸侯国,詹國,-827,-771,-827,-827,1,57,56,-826..-771,文献考证,前771年随西周覆灭而亡
周,周代诸侯国,梁國,-821,-640,-821,-641,181,182,1,-640,《左传·僖公二十年》,前640年被秦穆公所灭
周,周代诸侯国,劉國,-712,-441,-712,-455,258,272,14,-454..-441,《左传》及战国史考,约前441年亡于周贞定王
秦汉,秦朝,秦朝,-221,-206,-221,-207,15,16,1,-206,《史记·秦始皇本纪》,前206年子婴降刘邦，秦亡
魏晋南北朝,五胡十六国外政权,扶餘,-86,494,-86,-48,39,580,541,-47..494,《三国史记》/《魏书》,494年被高句丽所灭
秦汉,新朝,新朝,8,23,9,23,15,16,1,8,《汉书·王莽传》,8年建立，23年绿林军攻入长安，王莽死
魏晋南北朝,五胡十六国外政权,仇池,184,443,184,210,27,260,233,211..443,《魏书》/《宋书》,443年后仇池为北魏所灭
魏晋南北朝,五胡十六国外政权,段部鮮卑,303,339,303,310,8,37,29,311..339,《晋书·段匹磾等传》,339年被前燕与后赵联军夹击而亡(其后割据余部于359年彻底覆灭)
两晋,五胡十六国,西晉,306,316,306,311,6,11,5,312..316,《晋书·愍帝纪》,316年长安陷落，晋愍帝出降汉赵（前赵），西晋亡
魏晋南北朝,五胡十六国外政权,丁零,330,392,330,384,55,63,8,385..392,《晋书》/《资治通鉴》,指代丁零翟氏(翟魏)，392年被后燕慕容垂所灭
魏晋南北朝,五胡十六国外政权,柔然,402,555,402,410,9,154,145,411..555,《魏书》/《北史》,555年被突厥彻底消灭
魏晋南北朝,南北朝,宋,420,479,420,422,3,60,57,423..479,《宋书》/《南史》,479年宋顺帝禅位于萧道成，刘宋灭亡
魏晋南北朝,五胡十六国外政权,宕昌,478,564,478,550,73,87,14,551..564,《周书》,564年被北周大将田弘讨灭
魏晋南北朝,南北朝,齐,479,502,479,482,4,24,20,483..502,《南齐书》/《梁书》,502年齐和帝禅位于萧衍，南齐灭亡
魏晋南北朝,五胡十六国外政权,邓至,502,554,502,509,8,53,45,510..554,《魏书》/《周书》,554年被西魏所灭
魏晋南北朝,南北朝,梁,502,557,502,549,48,56,8,550..557,《梁书》/《陈书》,557年梁敬帝禅位于陈霸先，南梁灭亡
魏晋南北朝,五胡十六国外政权,高车,487,541,516,522,7,55,48,487..515;523..541,《魏书·高车传》,约487年阿伏至罗建立高车国，541年左右被柔然所灭
五代十国,五代十国,卢龙军,897,913,897,907,11,17,6,908..913,《旧五代史·刘守光传》,刘仁恭、刘守光割据(后建桀燕)，913年被晋王李存勖所灭
五代十国,五代十国,靜海軍,905,938,905,907,3,34,31,908..938,《大越史记全书》,905年曲氏建立半独立政权，至938年吴权击败南汉建立吴朝为止
五代十国,五代十国,福州/威武军,945,978,945,947,3,34,31,948..978,《宋史》/《新五代史》,945年闽国亡后李氏割据福州，后归入吴越，最终随吴越纳土归宋(978年)
五代十国,五代十国,清源军/平海军,949,978,949,962,14,30,16,963..978,《宋史·世家》,949年留从效割据泉漳建清源军，978年陈洪进纳土归宋
五代十国,五代十国,武平军,951,963,951,953,3,13,10,954..963,《宋史》/《新五代史》,951年刘言等割据湖南(原马楚地)，963年周保权降宋，武平军节度使割据终结
