location_id,name,aliases,category,icon_key,importance_level,display_priority,start_year,end_year,active_years_raw,related_event_ids,related_anecdote_ids,related_polity_ids,related_people,historical_name,modern_name,modern_admin_units_raw,longitude,latitude,location_precision,location_confidence_score,strategic_summary,historical_significance,source_titles,source_urls,source_type,confidence_note,review_status,review_note
location_eur_0001,Knossos,,capital,capital,2,100,-1900,-1450,-1900--1450,,,polity_eur_0001|polity_eur_0002,,Knossos,Knossos archaeological site,GRC,25.1631,35.298,city,80,米诺斯文明最大宫殿建筑群，行政与宗教中心。,米诺斯王宫与线性 A 文字主要发现地。,Encyclopaedia Britannica: Minoan civilization,https://www.britannica.com/topic/Minoan-civilization,synthesized_secondary,,verified,
location_eur_0002,Mycenae,,capital,capital,2,100,-1600,-1100,-1600--1100,,,polity_eur_0003,,Mycenae,Mycenae archaeological site,GRC,22.7568,37.73,city,82,迈锡尼文明最重要的城堡型宫殿，狮门遗址。,迈锡尼希腊政治军事中心；线性 B 文字主要发现地。,Encyclopaedia Britannica: Mycenaean civilization,https://www.britannica.com/topic/Mycenaean-civilization,synthesized_secondary,,verified,
location_eur_0003,Troy,,strategic_city,strategic_city,2,100,-1700,-1180,-1700--1180,,,polity_eur_0004,,Troy,Hisarlık archaeological site,TUR,26.2389,39.9575,city,72,达达尼尔海峡战略城邦，控制博斯普鲁斯通道。,《伊利亚特》主角；考古发现至少九层叠加聚落。,Encyclopaedia Britannica: Greek civilization,https://www.britannica.com/topic/ancient-Greek-civilization,synthesized_secondary,,verified,
location_eur_0004,Carthage,,capital,capital,2,100,-814,-146,-814--146,,,polity_eur_0013,,Carthage,Carthage,TUN,10.3232,36.8531,city,82,布匿帝国首都，西地中海最大贸易城市。,迦太基-罗马百余年争霸的政治军事中心。,Encyclopaedia Britannica: Carthage,https://www.britannica.com/place/Carthage-ancient-city-Tunisia,synthesized_secondary,,verified,
location_eur_0005,Olympia,,religious_site,religious_site,2,100,-1000,393,-1000-393,,,,,Olympia,Olympia,GRC,21.63,37.6383,city,80,奥林匹亚祭祀竞技中心。,泛希腊宗教纽带与编年标志。,Encyclopaedia Britannica: Greek civilization,https://www.britannica.com/topic/ancient-Greek-civilization,synthesized_secondary,,verified,
location_eur_0006,Delphi,,religious_site,religious_site,2,100,-800,393,-800-393,,,,,Delphi,Delphi,GRC,22.5009,38.4824,city,82,阿波罗神谕中心，希腊世界宗教与外交枢纽。,希腊各邦决策前必访神谕地。,Encyclopaedia Britannica: Greek civilization,https://www.britannica.com/topic/ancient-Greek-civilization,synthesized_secondary,,verified,
location_eur_0007,Rome,,capital,capital,2,100,-753,476,-753-476,,,polity_eur_0019|polity_eur_0032|polity_eur_0033,,Rome,Rome,ITA,12.4964,41.9028,city,92,罗马王政、共和、帝国都城。,地中海世界政治中心。,Encyclopaedia Britannica: Ancient Rome,https://www.britannica.com/place/ancient-Rome,synthesized_secondary,,verified,
location_eur_0008,Alexandria,,capital,capital,2,100,-331,641,-331-641,,,polity_eur_0030,,Alexandria,Alexandria,EGY,29.9187,31.2001,city,88,希腊化最大文化、学术中心。,亚历山大图书馆与法罗斯灯塔所在地。,Encyclopaedia Britannica: Greek civilization,https://www.britannica.com/topic/ancient-Greek-civilization,synthesized_secondary,,verified,
location_eur_0009,Constantinople,,capital,capital,2,100,330,1453,330-1453,,,polity_eur_0034|polity_eur_0036,,Constantinople,Istanbul,TUR,28.9784,41.0082,city,92,新罗马，东罗马 / 拜占庭千年都城。,基督教东方教会中心。,Encyclopaedia Britannica: Byzantine Empire,https://www.britannica.com/place/Byzantine-Empire,synthesized_secondary,,verified,
location_eur_0010,Pella,,capital,capital,2,100,-400,-148,-400--148,,,polity_eur_0027|polity_eur_0028,,Pella,Pella,GRC,22.5266,40.7572,city,82,马其顿王国首都，亚历山大大帝出生地。,希腊化时代起源地。,Encyclopaedia Britannica: Greek civilization,https://www.britannica.com/topic/ancient-Greek-civilization,synthesized_secondary,,verified,
location_eur_0011,Aachen,,capital,capital,2,100,794,843,794-843,,,polity_eur_0044,,Aachen,Aachen,DEU|DE-NW,6.0839,50.7753,city,88,加洛林帝国首都，查理曼宫廷与教堂所在地。,加洛林文艺复兴中心。,Encyclopaedia Britannica: Carolingian dynasty,https://www.britannica.com/topic/Carolingian-dynasty,synthesized_secondary,,verified,
