row_id,row_granularity,year,year_label,macro_period,dynasty_name,polity_name,polity_aliases,polity_type,polity_start_year,polity_start_label,polity_end_year,polity_end_label,polity_date_raw,polity_date_precision,historical_geography_raw,modern_admin_units_raw,capital_historical,capital_modern,ruling_family_or_clan,ethnicity_or_group,founder,last_ruler,destroyed_by_or_successor,polity_source_titles,polity_source_urls,polity_source_raw,confidence_score,confidence_note,calendar_system_note,ruler_name,ruler_title,ruler_temple_name,ruler_posthumous_name,ruler_personal_name,ruler_reign_start_year,ruler_reign_start_label,ruler_reign_end_year,ruler_reign_end_label,ruler_reign_raw,ruler_reign_precision,era_names,ruler_source_title,ruler_source_url,ruler_source_section,ruler_confidence_score,ruler_confidence_note
1,polity_metadata,,,周,周代诸侯国,井國,井国,诸侯国/古国,,,,,,,,陕西省宝鸡市,,,姜姓井氏,,,,衛國,周代诸侯国列表 - 维基百科,https://zh.wikipedia.org/wiki/%E5%91%A8%E4%BB%A3%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%88%97%E8%A1%A8,國名:井国; 今地:陕西省宝鸡市; 起迄年:; 出處: || 國名:井國; 今地:陕西省宝鸡市; 起迄年:; 出處:,55,周代诸侯国列表条目本身标注需要补充来源；已保留原始出处字段供复核,BCE years are negative integers; there is no year 0; ranges are expanded inclusively when start and end years are parseable.,,,,,,,,,,,,,,,,,
2,polity_metadata,,,周,周代诸侯国,仇由,,诸侯国/古国,,,,,？－前5世纪,,,,,,,,,,晉國,周代诸侯国列表 - 维基百科,https://zh.wikipedia.org/wiki/%E5%91%A8%E4%BB%A3%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%88%97%E8%A1%A8,國名:仇由; 今地:; 起迄年:？－前5世纪; 出處:,55,周代诸侯国列表条目本身标注需要补充来源；已保留原始出处字段供复核,BCE years are negative integers; there is no year 0; ranges are expanded inclusively when start and end years are parseable.,,,,,,,,,,,,,,,,,
3,polity_metadata,,,周,周代诸侯国,介國,介國（夷國）,诸侯国/古国,,,,,,,,山東省青島市,,,妘姓,,,,莒国,周代诸侯国列表 - 维基百科,https://zh.wikipedia.org/wiki/%E5%91%A8%E4%BB%A3%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%88%97%E8%A1%A8,國名:介國（夷國）; 今地:山東省青島市; 起迄年:; 出處:,55,周代诸侯国列表条目本身标注需要补充来源；已保留原始出处字段供复核,BCE years are negative integers; there is no year 0; ranges are expanded inclusively when start and end years are parseable.,,,,,,,,,,,,,,,,,
4,polity_metadata,,,周,周代诸侯国,代國,,诸侯国/古国,,,,,,,,山西省东北 | 河北省西北,,,子姓,,,,趙國,周代诸侯国列表 - 维基百科,https://zh.wikipedia.org/wiki/%E5%91%A8%E4%BB%A3%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%88%97%E8%A1%A8,國名:代國; 今地:山西省东北; 起迄年:; 出處: || 國名:代國; 今地:河北省西北; 起迄年:; 出處:,55,周代诸侯国列表条目本身标注需要补充来源；已保留原始出处字段供复核,BCE years are negative integers; there is no year 0; ranges are expanded inclusively when start and end years are parseable.,,,,,,,,,,,,,,,,,
5,polity_metadata,,,周,周代诸侯国,令支國,,诸侯国/古国,,,,,,,,,,,,,,,燕國,周代诸侯国列表 - 维基百科,https://zh.wikipedia.org/wiki/%E5%91%A8%E4%BB%A3%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%88%97%E8%A1%A8,國名:令支國; 今地:; 起迄年:; 出處:,55,周代诸侯国列表条目本身标注需要补充来源；已保留原始出处字段供复核,BCE years are negative integers; there is no year 0; ranges are expanded inclusively when start and end years are parseable.,,,,,,,,,,,,,,,,,
6,polity_metadata,,,周,周代诸侯国,任國,,诸侯国/古国,,,,,,,,山東省濟寧市,,,風姓任氏 | 风姓任氏,,,,鲁国 | 齊國,周代诸侯国列表 - 维基百科,https://zh.wikipedia.org/wiki/%E5%91%A8%E4%BB%A3%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%88%97%E8%A1%A8,國名:任國; 今地:山東省濟寧市; 起迄年:; 出處:,55,周代诸侯国列表条目本身标注需要补充来源；已保留原始出处字段供复核,BCE years are negative integers; there is no year 0; ranges are expanded inclusively when start and end years are parseable.,,,,,,,,,,,,,,,,,
7,polity_metadata,,,周,周代诸侯国,伊洛戎,,诸侯国/古国,,,,,,,,,,,,,,,"韩国,魏国",周代诸侯国列表 - 维基百科,https://zh.wikipedia.org/wiki/%E5%91%A8%E4%BB%A3%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%88%97%E8%A1%A8,國名:伊洛戎; 今地:; 起迄年:; 出處:,55,周代诸侯国列表条目本身标注需要补充来源；已保留原始出处字段供复核,BCE years are negative integers; there is no year 0; ranges are expanded inclusively when start and end years are parseable.,,,,,,,,,,,,,,,,,
8,polity_metadata,,,周,周代诸侯国,倗國,,诸侯国/古国,,,,,,,,山西省运城市绛县,,,,,,,晉國,周代诸侯国列表 - 维基百科,https://zh.wikipedia.org/wiki/%E5%91%A8%E4%BB%A3%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%88%97%E8%A1%A8,國名:倗國; 今地:山西省运城市绛县; 起迄年:; 出處:,55,周代诸侯国列表条目本身标注需要补充来源；已保留原始出处字段供复核,BCE years are negative integers; there is no year 0; ranges are expanded inclusively when start and end years are parseable.,,,,,,,,,,,,,,,,,
9,polity_metadata,,,周,周代诸侯国,偪國,,诸侯国/古国,,,,,,,,,,,姞姓,,,,,周代诸侯国列表 - 维基百科,https://zh.wikipedia.org/wiki/%E5%91%A8%E4%BB%A3%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%88%97%E8%A1%A8,國名:偪國; 今地:; 起迄年:; 出處:,55,周代诸侯国列表条目本身标注需要补充来源；已保留原始出处字段供复核,BCE years are negative integers; there is no year 0; ranges are expanded inclusively when start and end years are parseable.,,,,,,,,,,,,,,,,,
10,polity_metadata,,,周,周代诸侯国,偪陽國,偪陽國（傅陽國）,诸侯国/古国,,,-563,前563年,？－前563年,partial,,山東省棗莊市,,,妘姓,,,,晉國、魯國、齊國、宋國、衛國、曹國等,周代诸侯国列表 - 维基百科,https://zh.wikipedia.org/wiki/%E5%91%A8%E4%BB%A3%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%88%97%E8%A1%A8,國名:偪陽國（傅陽國）; 今地:山東省棗莊市; 起迄年:？－前563年; 出處:,55,周代诸侯国列表条目本身标注需要补充来源；已保留原始出处字段供复核,BCE years are negative integers; there is no year 0; ranges are expanded inclusively when start and end years are parseable.,,,,,,,,,,,,,,,,,
