macro_period,dynasty_name,polity_name,polity_start_year,polity_end_year,actual_min_year,actual_max_year,row_count,actual_year_count,expected_year_count,extra_before_count,extra_after_count,extra_count,missing_year_count,extra_years,missing_years,source_titles,source_raw
周,周代诸侯国,北虢國沛縣,-767,-655,-1046,-655,392,392,113,279,0,279,0,-1046..-768,,《左传·僖公五年》,晋献公假道伐虢灭北虢
周,周代诸侯国,原國,-1046,-635,-1046,-563,484,484,412,0,72,72,0,-634..-563,,《左传·僖公二十五年》,晋文公灭原
周,周代诸侯国,召國,-1046,-513,-1046,-1046,1,1,534,0,0,0,533,,-1045..-513,《左传·昭公二十九年》,周敬王杀召简公，召国灭亡
周,周代诸侯国,殷國,-1046,-1039,-1046,-1040,7,7,8,0,0,0,1,,-1039,《史记·周本纪》,三监之乱后武庚被杀，殷国灭亡
周,周代诸侯国,燕國,-1046,-222,-1046,-221,827,826,825,0,1,1,0,-221,,《史记·燕召公世家》,前222年王贲灭燕
周,周代诸侯国,管國,-1046,-1039,-1046,-1040,7,7,8,0,0,0,1,,-1039,《史记·管蔡世家》,三监之乱后管叔鲜被杀，管国灭亡
周,周代诸侯国,晉國,-1033,-376,-1033,-349,753,685,658,0,27,27,0,-375..-349,,《史记·晋世家》,前376年韩、赵、魏废晋静公，将晋公室剩余土地瓜分
周,周代诸侯国,詹國,-827,-771,-827,-827,1,1,57,0,0,0,56,,-826..-771,文献考证,前771年随西周覆灭而亡
周,周代诸侯国,梁國,-821,-640,-821,-641,181,181,182,0,0,0,1,,-640,《左传·僖公二十年》,前640年被秦穆公所灭
周,周代诸侯国,劉國,-712,-441,-712,-455,259,258,272,0,0,0,14,,-454..-441,《左传》及战国史考,约前441年亡于周贞定王
周,周代诸侯国,呂國,-688,-688,-688,-680,9,9,1,0,8,8,0,-687..-680,,《左传》及楚史考证,约前688年与申国同时被楚文王所灭
周,周代诸侯国,郳國,-653,-335,-653,-325,329,329,319,0,10,10,0,-334..-325,,《左传》及战国史,前335年被楚国所灭
周,周代诸侯国,濫國,-643,-521,-643,-510,134,134,123,0,11,11,0,-520..-510,,《左传·昭公二十一年》,前521年降于鲁国
秦汉,秦朝,秦朝,-221,-206,-221,-207,16,15,16,0,0,0,1,,-206,《史记·秦始皇本纪》,前206年子婴降刘邦，秦亡
秦汉,西漢,西漢,-202,8,-202,9,222,211,210,0,1,1,0,9,,《汉书·王莽传》,公元8年王莽篡汉，建立新朝
魏晋南北朝,五胡十六国外政权,扶餘,-86,494,-86,-48,40,39,580,0,0,0,541,,-47..494,《三国史记》/《魏书》,494年被高句丽所灭
秦汉,新朝,新朝,8,23,9,23,15,15,16,0,0,0,1,,8,《汉书·王莽传》,8年建立，23年绿林军攻入长安，王莽死
魏晋南北朝,五胡十六国外政权,仇池,184,443,184,210,28,27,260,0,0,0,233,,211..443,《魏书》/《宋书》,443年后仇池为北魏所灭
三国,三国,曹魏,220,265,220,266,51,47,46,0,1,1,0,266,,《三国志·魏书》,220年曹丕称帝，265年司马炎代魏建立西晋
魏晋南北朝,五胡十六国外政权,段部鮮卑,303,339,303,310,9,8,37,0,0,0,29,,311..339,《晋书·段匹磾等传》,339年被前燕与后赵联军夹击而亡(其后割据余部于359年彻底覆灭)
两晋,五胡十六国,西晉,306,316,306,311,6,6,11,0,0,0,5,,312..316,《晋书·愍帝纪》,316年长安陷落，晋愍帝出降汉赵（前赵），西晋亡
魏晋南北朝,五胡十六国外政权,段部,310,339,310,357,48,48,30,0,18,18,0,340..357,,《晋书》,339年被前燕与后赵联军夹击而亡
魏晋南北朝,五胡十六国外政权,丁零,330,392,330,384,56,55,63,0,0,0,8,,385..392,《晋书》/《资治通鉴》,指代丁零翟氏(翟魏)，392年被后燕慕容垂所灭
魏晋南北朝,五胡十六国,後燕,384,407,384,409,30,26,24,0,2,2,0,408..409,,《晋书·慕容垂等载记》,407年慕容熙被杀，高云即位建北燕，后燕亡（一说409年冯跋杀高云）
魏晋南北朝,五胡十六国,北魏,386,534,386,535,150,150,149,0,1,1,0,535,,《魏书》/《北史》,534年孝武帝西奔长安，北魏正式分裂为东魏与西魏
魏晋南北朝,五胡十六国外政权,柔然,402,555,402,410,10,9,154,0,0,0,145,,411..555,《魏书》/《北史》,555年被突厥彻底消灭
魏晋南北朝,五胡十六国外政权,桓楚,403,404,403,405,5,3,2,0,1,1,0,405,,《晋书·桓玄传》,403年桓玄篡晋建楚，404年败亡
魏晋南北朝,南北朝,宋,420,479,420,422,3,3,60,0,0,0,57,,423..479,《宋书》/《南史》,479年宋顺帝禅位于萧道成，刘宋灭亡
魏晋南北朝,五胡十六国外政权,宕昌,478,564,478,550,74,73,87,0,0,0,14,,551..564,《周书》,564年被北周大将田弘讨灭
魏晋南北朝,南北朝,齐,479,502,479,482,5,4,24,0,0,0,20,,483..502,《南齐书》/《梁书》,502年齐和帝禅位于萧衍，南齐灭亡
