source_id,topic,source_title,source_url,source_type,credibility_tier,covers_fields,notes
source_ind_0001,historical_atlas,Digital South Asia Library: A Historical Atlas of South Asia,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html,historical_atlas,A,periodization|geography|polity_context,Schwartzberg atlas scans and map commentary for South Asian historical geography.
source_ind_0002,gazetteer,Imperial Gazetteer of India,https://dsal.uchicago.edu/reference/gazetteer/index.html,colonial_gazetteer,B,princely_states|geography|capital_context,"Colonial gazetteer; strong for administrative geography, read with colonial-source caveats."
source_ind_0003,gazetteer_atlas,"Imperial Gazetteer Atlas of India, 1931",https://dsal.uchicago.edu/reference/gaz_atlas_1931/,historical_atlas,B,territory_context|colonial_geography,Map reference for late-colonial administrative and princely-state geography.
source_ind_0004,textbook,"NCERT Themes in Indian History, Part I",https://ncert.nic.in/textbook/pdf/lehs101.pdf,education_source,A,ancient_history|events|periodization,Indian national educational history text for ancient and early historical periods.
source_ind_0005,textbook,"NCERT Themes in Indian History, Part II",https://ncert.nic.in/textbook/pdf/lehs201.pdf,education_source,A,medieval_history|events|periodization,Indian national educational history text for medieval periods.
source_ind_0006,textbook,"NCERT Themes in Indian History, Part III",https://ncert.nic.in/textbook/pdf/lehs301.pdf,education_source,A,modern_history|events|periodization,Indian national educational history text for modern periods.
source_ind_0007,archaeology,"UNESCO World Heritage Centre: Dholavira, a Harappan City",https://whc.unesco.org/en/list/1645,heritage_record,A,harappan_sites|coordinates|chronology,UNESCO record for one of the major Harappan urban sites.
source_ind_0008,official_history,Know India: Profile and History,https://knowindia.india.gov.in/profile/,official_overview,A,modern_india|political_context,Government of India overview; use with more detailed sources for exact chronology.
source_ind_0009,overview,Encyclopaedia Britannica: India,https://www.britannica.com/place/India,encyclopedia,B,overview|periodization|events,High-level cross-period overview.
source_ind_0010,ancient_empire,Encyclopaedia Britannica: Mauryan Empire,https://www.britannica.com/place/Mauryan-Empire,encyclopedia,B,polity_dates|rulers|events,Secondary reference for Mauryan chronology.
source_ind_0011,ancient_empire,Encyclopaedia Britannica: Gupta dynasty,https://www.britannica.com/topic/Gupta-dynasty,encyclopedia,B,polity_dates|rulers|events,Secondary reference for Gupta chronology.
source_ind_0012,medieval_polity,Encyclopaedia Britannica: Delhi Sultanate,https://www.britannica.com/place/Delhi-sultanate,encyclopedia,B,polity_dates|rulers|events,Secondary reference for Delhi Sultanate chronology.
source_ind_0013,early_modern_polity,Encyclopaedia Britannica: Mughal dynasty,https://www.britannica.com/topic/Mughal-dynasty,encyclopedia,B,polity_dates|rulers|events,Secondary reference for Mughal chronology.
source_ind_0014,colonial_polity,Encyclopaedia Britannica: British Raj,https://www.britannica.com/event/British-raj,encyclopedia,B,colonial_period|events,Secondary reference for Crown rule in India.
source_ind_0015,colonial_polity,Encyclopaedia Britannica: Princely state,https://www.britannica.com/topic/princely-state-colonial-India,encyclopedia,B,princely_states|political_status,Context for indirect rule and princely-state status.
source_ind_0016,official_law,"India Code: States Reorganisation Act, 1956",https://www.indiacode.nic.in/handle/123456789/1680?view_type=search,official_law,A,post_1947_events|territorial_reorganization,Official legal reference for linguistic state reorganization.
