polity_id,polity_name,admin_ids,valid_from_year,valid_to_year,match_source,confidence_score,note,source_titles,source_raw
polity_eur_0013,Carthage (Phoenician Colony to Punic Republic),TUN|LBY|DZA|MAR|IT-SICILIA|IT-SARDEGNA|ES-ANDALUCI|ES-REGIONDE,0,0,manual_override,75,迦太基鼎盛覆盖突尼斯、利比亚西部、阿尔及利亚北部沿岸、摩洛哥沿海、西西里西部、撒丁岛、伊比利亚南部（哈斯德鲁巴-巴卡时期）。,Encyclopaedia Britannica: Carthage,manually curated from peak Punic extent before Second Punic War
polity_eur_0032,Roman Republic,ITA|ESP|PRT|FRA|GRC|TUR|SYR|LBN|ISR|JOR|TUN|DZA|MAR|LBY|EGY|HRV|SVN|ALB|MKD|BGR|MNE|MLT|CYP,0,0,manual_override,82,罗马共和后期（前 50 年凯撒-庞培时代）疆域。不含罗马尼亚（达契亚未征服）、瑞士奥地利匈牙利（晚期帝国扩张）、不列颠。,Encyclopaedia Britannica: Ancient Rome,manually curated from late Republican peak under Pompey
polity_eur_0033,Roman Empire (Principate),ITA|ESP|PRT|FRA|GRC|TUR|SYR|LBN|ISR|JOR|TUN|DZA|MAR|LBY|EGY|HRV|SVN|ALB|MKD|BGR|MNE|MLT|CYP|ROU|GBR|CHE|AUT|HUN|BEL|NLD|LUX|IRQ|DE-BY|DE-RP|DE-BW,0,0,manual_override,88,罗马帝国元首制（图拉真鼎盛 117 CE）：含达契亚、不列颠（英格兰部分）、莱茵-多瑙边境（瑞士、奥地利、匈牙利、低地、莱茵兰）。德国仅取莱茵河西岸三个 Länder。,Encyclopaedia Britannica: Roman Empire,manually curated from Trajan-era peak
polity_eur_0034,Roman Empire (Dominate),ITA|ESP|PRT|FRA|GRC|TUR|SYR|LBN|ISR|JOR|TUN|DZA|MAR|LBY|EGY|HRV|SVN|ALB|MKD|BGR|MNE|MLT|CYP|ROU|GBR|CHE|AUT|HUN|BEL|NLD|LUX|DE-BY|DE-RP|DE-BW|DE-NW,0,0,manual_override,85,罗马帝国君主制（戴克里先到狄奥多西）疆界，基本继承元首制晚期。,Encyclopaedia Britannica: Roman Empire,manually curated from late Dominate extent
polity_eur_0035,Western Roman Empire,ITA|ESP|PRT|FRA|GBR|TUN|DZA|MAR|CHE|AUT|BEL|NLD|LUX|DE-BY|DE-RP|DE-BW|DE-NW|MLT,0,0,manual_override,88,西罗马帝国：意大利、伊比利亚、高卢、不列颠、北非西部、莱茵兰、瑞士奥地利的阿尔卑斯部分。,Encyclopaedia Britannica: Roman Empire,manually curated from Western half post-395 division
polity_eur_0036,Eastern Roman Empire (early Byzantine),GRC|TUR|BGR|MKD|ALB|SRB|MNE|HRV|CYP|EGY|SYR|LBN|ISR|JOR|LBY|TUN|MLT|IT-SICILIA|IT-LAZIO|IT-CAMPANIA|IT-PUGLIA|IT-CALABRIA|IT-BASILICA|IT-SARDEGNA,0,0,manual_override,82,东罗马 / 早期拜占庭：希腊、巴尔干、安纳托利亚、黎凡特、埃及、北非利比亚-突尼斯（查士丁尼短暂收复）、意大利南部 + 西西里 + 撒丁岛。,Encyclopaedia Britannica: Byzantine Empire,manually curated from Justinian-era peak
polity_eur_0043,Middle Byzantine Empire,GRC|TUR|BGR|MKD|ALB|SRB|MNE|HRV|CYP|IT-CALABRIA|IT-SICILIA,0,0,manual_override,80,中期拜占庭：失去阿拉伯征服的近东与北非；马其顿王朝鼎盛时收复希腊、巴尔干部分、塞浦路斯、意大利南部 Calabria + Sicily。,Encyclopaedia Britannica: Byzantine Empire,manually curated from Macedonian dynasty peak
polity_eur_0084,Late Byzantine Empire (Nicaea & restored),GRC|TUR,0,0,manual_override,78,晚期巴列奥略拜占庭：从 1261 复辟后逐步萎缩为安纳托利亚西部 + 希腊东南部 + 君士坦丁堡。,Encyclopaedia Britannica: Byzantine Empire,manually curated from Palaiologan extent
polity_eur_0044,Carolingian Empire,FRA|DEU|BEL|NLD|LUX|CHE|AUT|LIE|IT-LOMBARDI|IT-PIEMONTE|IT-EMILIARO|IT-LIGURIA|IT-VENETO|IT-FRIULIVE|IT-TRENTINO|IT-TOSCANA|IT-MARCHE|IT-UMBRIA|ES-CATALUNA,0,0,manual_override,88,加洛林帝国查理曼时期：法兰西、德意志、低地、瑞士、奥地利、北意大利与中意大利、加泰罗尼亚（西班牙边境）。,Encyclopaedia Britannica: Carolingian dynasty,manually curated from Charlemagne-era extent
polity_eur_0048,Umayyad al-Andalus (Caliphate of Córdoba),ES-ANDALUCI|ES-REGIONDE|ES-COMUNITA|ES-CASTILLA-2|ES-EXTREMAD|ES-CASTILLA|ES-COMUNIDA-2|ES-ARAGON|PRT,0,0,manual_override,82,后倭马亚安达卢斯鼎盛覆盖伊比利亚南部与中部、葡萄牙大部。北部基督教王国（阿斯图里亚斯/纳瓦拉/加利西亚）始终在外。,Encyclopaedia Britannica: Spain — History,manually curated from Caliphate of Cordoba peak
