anecdote_id,dynasty_name,macro_period,year,sort_order,date_label,date_precision,coverage_start_year,coverage_end_year,anecdote_type,title,phrase,short_description,story_text,source_title,source_section,source_url,source_type,source_note,related_polity_ids,related_people,location_historical_name,location_modern_name,longitude,latitude,location_precision,primary_education_stage,education_stage_tags,display_priority,review_status,review_note
anecdote_0001,西周,周,-771,7010,前771年,year,-771,-771,historical_story,烽火戏诸侯,烽火戏诸侯,周幽王点燃烽火取乐，诸侯失信后西周亡于犬戎。,前771年前后，周幽王宠褒姒，传说他在骊山一带点燃告急烽火，只为博她一笑。诸侯被戏弄后不再信任烽火。犬戎攻入镐京时，救兵迟迟不到，西周由此走向终结。后人讲它时，常把失信的烽火和镐京陷落连在一起，警醒君主不可把军国大事当玩笑。,《史记》,周本纪,https://ctext.org/shiji/zh,official_history,此为史书叙事与后世流传结合的典故,polity_0129,周幽王|褒姒,骊山,陕西省西安市临潼区,109.2133,34.3671,region,初中,小学|初中,6,verified,按《史记·周本纪》与骊山传统地点落点
anecdote_0002,春秋,周,-685,7020,前685年,approx,-685,-685,historical_story,管鲍之交,管鲍之交,鲍叔牙举荐管仲，留下知己相托的故事。,前685年，齐桓公争位后本可处死管仲。鲍叔牙却说管仲有治国才能，愿意把相位让给他。管仲后来辅佐齐桓公称霸，常说生我者父母，知我者鲍子也。这段交往最动人的地方，在于鲍叔牙看见的不是一时成败，而是管仲真正能做成的事。,《史记》,管晏列传,https://ctext.org/shiji/zh,official_history,,polity_0167,管仲|鲍叔牙|齐桓公,临淄,山东省淄博市临淄区,118.309,36.8269,city,初中,小学|初中,6,verified,故事地点取齐都临淄
anecdote_0003,春秋,周,-663,7030,前663年,approx,-663,-663,chengyu,老马识途,老马识途,齐桓公北伐迷路，管仲借老马找到归路。,前663年前后，齐桓公北伐山戎，归途中军队在荒原迷路。管仲让几匹老马走在前面，众人跟着马迹终于找到道路。老马识途从此用来比喻有经验的人熟悉门路。故事里没有神奇计策，只有对旧路和地势的熟悉，所以读起来格外像行军途中会发生的小事。,《韩非子》,说林上,https://ctext.org/hanfeizi/zh,classic_text,,polity_0167,齐桓公|管仲,孤竹一带,河北省唐山市滦州市一带,118.699,39.744,region,初中,小学|初中,6,verified,故事核心在齐伐山戎归途
anecdote_0004,春秋,周,-632,7040,前632年,year,-632,-632,chengyu,退避三舍,退避三舍,晋文公践旧约避让楚军，最终在城濮取胜。,前632年，晋楚在城濮相遇。晋文公重耳想起流亡楚国时曾许下的诺言，先让军队退后三舍。楚军继续逼进，晋军随后反击获胜。退避三舍后来多指主动让步或避其锋芒。晋文公先退后战，既守住旧日承诺，也把楚军引到自己愿意交锋的位置。,《左传》,僖公二十八年,https://ctext.org/chun-qiu-zuo-zhuan/zh,classic_text,,polity_0073|polity_0084,晋文公|楚成王,城濮,山东省鄄城县西南一带,115.5,35.55,region,初中,小学|初中,6,verified,地点取城濮之战传统落点
anecdote_0005,春秋,周,-613,7050,前613年,approx,-613,-613,chengyu,一鸣惊人,一鸣惊人,楚庄王沉默三年后亲政，楚国由此振起。,楚庄王即位后好几年不理政事，大臣用大鸟三年不飞不鸣来劝他。庄王答道不飞则已，一飞冲天，不鸣则已，一鸣惊人。此后他整顿国政，楚国声势渐盛。这句话传开后，人们提起沉默蓄势，常会想到楚庄王忽然整顿朝政的那一刻。,《史记》,楚世家,https://ctext.org/shiji/zh,official_history,,polity_0084,楚庄王,郢,湖北省荆州市纪南城一带,112.19,30.42,region,初中,小学|初中,6,verified,地点取楚都郢
anecdote_0006,春秋,周,-606,7060,前606年,year,-606,-606,historical_story,问鼎中原,问鼎中原,楚庄王到洛水边问九鼎轻重，锋芒直指周室。,前606年，楚庄王北伐陆浑之戎后到洛水附近陈兵。周王派王孙满劳军，庄王问九鼎大小轻重。王孙满答以德不在鼎。问鼎中原后来常用来指争夺最高权力。王孙满的回答把九鼎拉回到德行和民心上，也让周室最后的尊严有了声音。,《左传》,宣公三年,https://ctext.org/chun-qiu-zuo-zhuan/zh,classic_text,,polity_0084|polity_0003,楚庄王|王孙满,洛邑,河南省洛阳市,112.454,34.6197,city,初中,初中|高中,6,verified,地点取周都洛邑
anecdote_0007,春秋,周,-494,7070,前494年,year,-494,-473,chengyu,卧薪尝胆,卧薪尝胆,越王勾践败后忍辱图强，最终灭吴雪耻。,前494年，越王勾践败于夫椒，被迫向吴王夫差称臣。传说他回国后睡在柴草上，又常尝苦胆提醒自己勿忘会稽之耻。多年积蓄国力后，越国终于攻灭吴国。学生读到这里，能看见春秋争霸并不只是战场胜负，还有忍耐，屈辱和长期准备。,《史记》,越王勾践世家,https://ctext.org/shiji/zh,official_history,,polity_0145|polity_0056,勾践|夫差,会稽,浙江省绍兴市,120.582,29.997,city,初中,小学|初中,6,verified,地点取越都会稽
anecdote_0008,战国,周,-356,7080,前356年,approx,-356,-356,historical_story,田忌赛马,田忌赛马,孙膑调换马匹出场顺序，帮田忌赢得赛局。,战国时，田忌与齐王赛马，三等马各有高低。孙膑让田忌以下等马对上等马，再以上等马和中等马分别取胜，最终二胜一负。这个故事常被用来讲谋略和次序。它不像单纯比快慢，而是把强弱放进顺序里重新安排，所以一直适合讲策略。,《史记》,孙子吴起列传,https://ctext.org/shiji/zh,official_history,,polity_0167,田忌|孙膑|齐威王,临淄,山东省淄博市临淄区,118.309,36.8269,city,小学,小学|初中,6,verified,地点取齐都临淄
anecdote_0009,战国,周,-354,7090,前354年,year,-354,-354,chengyu,围魏救赵,围魏救赵,孙膑不救邯郸而攻魏都，迫使魏军回撤。,前354年，魏军围攻赵都邯郸。齐国出兵后，孙膑没有直接冲向邯郸，而是转攻魏国都城大梁，迫使庞涓回救。围魏救赵后来指避开正面压力，抓住对方要害。孙膑避开邯郸城下的硬碰硬，转身攻向魏国软肋，使战局突然换了方向。,《史记》,孙子吴起列传,https://ctext.org/shiji/zh,official_history,,polity_0167|polity_0144|polity_0165,孙膑|庞涓,大梁,河南省开封市,114.3076,34.7972,city,初中,小学|初中,6,verified,地点取魏都大梁
anecdote_0010,战国,周,-356,7100,前356年,year,-356,-356,historical_story,商鞅立木,立木取信,商鞅在秦都南门立木悬赏，以重赏取信于民。,前356年，商鞅在秦国推行变法前，把一根木头立在都城南门，宣布能搬到北门者赏金。有人试着照做，果然得到重赏。秦人由此知道新法说到做到。这件小事发生在变法之前，却先解决了最难的一点：百姓到底信不信官府说话算数。,《史记》,商君列传,https://ctext.org/shiji/zh,official_history,,polity_0110,商鞅,栎阳,陕西省西安市阎良区武屯一带,109.226,34.674,region,初中,初中|高中,6,verified,地点取秦变法前后都城栎阳
